day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	3
1	8	3
1	9	6
1	10	3
1	11	5
1	12	4
1	13	6
1	14	2
1	15	1
1	16	6
1	17	2
1	18	4
1	19	2
1	20	5
1	21	5
1	22	1
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	6
2	9	3
2	10	5
2	11	1
2	12	6
2	13	7
2	14	8
2	15	2
2	16	5
2	17	7
2	18	4
2	19	8
2	20	5
2	21	3
2	22	3
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	6
3	8	15
3	9	8
3	10	4
3	11	4
3	12	7
3	13	8
3	14	2
3	15	7
3	16	3
3	17	2
3	18	7
3	19	6
3	20	2
3	21	6
3	22	2
3	23	0
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	4
4	8	9
4	9	5
4	10	3
4	11	5
4	12	6
4	13	9
4	14	11
4	15	2
4	16	2
4	17	0
4	18	4
4	19	9
4	20	12
4	21	6
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	9
5	9	2
5	10	8
5	11	2
5	12	2
5	13	5
5	14	1
5	15	4
5	16	2
5	17	4
5	18	3
5	19	4
5	20	4
5	21	5
5	22	3
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	5
6	8	2
6	9	0
6	10	4
6	11	1
6	12	0
6	13	0
6	14	3
6	15	2
6	16	1
6	17	3
6	18	6
6	19	2
6	20	4
6	21	5
6	22	3
6	23	2
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	6
7	8	4
7	9	1
7	10	0
7	11	0
7	12	1
7	13	2
7	14	3
7	15	2
7	16	1
7	17	1
7	18	2
7	19	6
7	20	5
7	21	14
7	22	6
7	23	1
7	24	0
