day	hour	value
1	1	0
1	2	1
1	3	4
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	1
1	11	5
1	12	0
1	13	1
1	14	0
1	15	1
1	16	5
1	17	2
1	18	1
1	19	0
1	20	5
1	21	4
1	22	1
1	23	6
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	3
2	10	1
2	11	6
2	12	3
2	13	1
2	14	1
2	15	0
2	16	1
2	17	1
2	18	1
2	19	1
2	20	3
2	21	1
2	22	3
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	2
3	9	2
3	10	5
3	11	1
3	12	3
3	13	2
3	14	3
3	15	0
3	16	3
3	17	3
3	18	2
3	19	0
3	20	2
3	21	2
3	22	0
3	23	3
3	24	3
4	1	0
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	1
4	11	0
4	12	1
4	13	0
4	14	4
4	15	0
4	16	0
4	17	0
4	18	1
4	19	2
4	20	1
4	21	1
4	22	1
4	23	0
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	1
5	10	1
5	11	2
5	12	3
5	13	5
5	14	1
5	15	0
5	16	1
5	17	2
5	18	6
5	19	1
5	20	1
5	21	2
5	22	6
5	23	3
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	2
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	1
6	14	2
6	15	1
6	16	1
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	4
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	1
7	12	1
7	13	3
7	14	0
7	15	1
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	1
7	23	0
7	24	4
