day	hour	value
1	1	15
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	3
1	12	1
1	13	3
1	14	0
1	15	10
1	16	6
1	17	2
1	18	9
1	19	1
1	20	2
1	21	10
1	22	0
1	23	19
1	24	1
2	1	14
2	2	12
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	4
2	11	9
2	12	2
2	13	4
2	14	1
2	15	5
2	16	3
2	17	3
2	18	4
2	19	3
2	20	0
2	21	0
2	22	9
2	23	14
2	24	8
3	1	3
3	2	6
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	2
3	12	15
3	13	4
3	14	4
3	15	1
3	16	1
3	17	3
3	18	5
3	19	1
3	20	4
3	21	2
3	22	0
3	23	6
3	24	1
4	1	0
4	2	28
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	7
4	12	1
4	13	5
4	14	0
4	15	7
4	16	0
4	17	2
4	18	1
4	19	4
4	20	0
4	21	4
4	22	0
4	23	8
4	24	2
5	1	12
5	2	5
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	8
5	11	15
5	12	6
5	13	1
5	14	0
5	15	2
5	16	5
5	17	1
5	18	1
5	19	3
5	20	9
5	21	8
5	22	15
5	23	2
5	24	14
6	1	8
6	2	1
6	3	4
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	8
6	12	6
6	13	3
6	14	8
6	15	5
6	16	9
6	17	1
6	18	1
6	19	0
6	20	0
6	21	16
6	22	12
6	23	4
6	24	12
7	1	0
7	2	1
7	3	5
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	2
7	11	2
7	12	9
7	13	1
7	14	1
7	15	3
7	16	10
7	17	7
7	18	2
7	19	0
7	20	0
7	21	11
7	22	0
7	23	1
7	24	4
