day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	8
1	7	4
1	8	7
1	9	7
1	10	2
1	11	0
1	12	4
1	13	2
1	14	4
1	15	17
1	16	6
1	17	5
1	18	5
1	19	3
1	20	3
1	21	2
1	22	3
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	2
2	8	1
2	9	6
2	10	9
2	11	1
2	12	3
2	13	3
2	14	8
2	15	5
2	16	7
2	17	3
2	18	1
2	19	11
2	20	2
2	21	2
2	22	1
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	3
3	9	7
3	10	4
3	11	0
3	12	6
3	13	3
3	14	0
3	15	2
3	16	2
3	17	0
3	18	5
3	19	6
3	20	0
3	21	3
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	9
4	10	3
4	11	0
4	12	1
4	13	3
4	14	3
4	15	8
4	16	5
4	17	6
4	18	1
4	19	3
4	20	2
4	21	0
4	22	2
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	6
5	9	12
5	10	5
5	11	0
5	12	3
5	13	6
5	14	9
5	15	8
5	16	9
5	17	6
5	18	2
5	19	4
5	20	0
5	21	0
5	22	0
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	6
6	10	3
6	11	3
6	12	5
6	13	2
6	14	0
6	15	5
6	16	5
6	17	3
6	18	4
6	19	4
6	20	1
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	2
7	9	1
7	10	5
7	11	1
7	12	3
7	13	2
7	14	8
7	15	3
7	16	2
7	17	0
7	18	2
7	19	1
7	20	3
7	21	1
7	22	0
7	23	0
7	24	0
