day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	3
1	9	8
1	10	7
1	11	5
1	12	10
1	13	3
1	14	7
1	15	4
1	16	3
1	17	2
1	18	8
1	19	2
1	20	1
1	21	3
1	22	2
1	23	2
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	2
2	9	6
2	10	12
2	11	5
2	12	9
2	13	4
2	14	4
2	15	3
2	16	9
2	17	3
2	18	4
2	19	3
2	20	5
2	21	17
2	22	1
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	6
3	9	11
3	10	4
3	11	7
3	12	25
3	13	2
3	14	8
3	15	11
3	16	4
3	17	8
3	18	1
3	19	1
3	20	2
3	21	2
3	22	5
3	23	6
3	24	0
4	1	0
4	2	1
4	3	0
4	4	0
4	5	1
4	6	0
4	7	0
4	8	2
4	9	18
4	10	8
4	11	5
4	12	3
4	13	8
4	14	8
4	15	6
4	16	27
4	17	4
4	18	3
4	19	3
4	20	0
4	21	2
4	22	1
4	23	2
4	24	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
5	8	3
5	9	12
5	10	7
5	11	7
5	12	26
5	13	9
5	14	10
5	15	5
5	16	3
5	17	6
5	18	4
5	19	0
5	20	3
5	21	3
5	22	2
5	23	2
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	2
6	11	5
6	12	6
6	13	2
6	14	12
6	15	0
6	16	0
6	17	3
6	18	1
6	19	1
6	20	0
6	21	1
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	3
7	11	7
7	12	2
7	13	5
7	14	7
7	15	0
7	16	0
7	17	2
7	18	1
7	19	0
7	20	1
7	21	0
7	22	0
7	23	0
7	24	0
