day	hour	value
1	1	0
1	2	1
1	3	0
1	4	0
1	5	0
1	6	1
1	7	5
1	8	1
1	9	1
1	10	3
1	11	0
1	12	2
1	13	1
1	14	4
1	15	3
1	16	11
1	17	8
1	18	5
1	19	5
1	20	0
1	21	2
1	22	0
1	23	0
1	24	0
2	1	1
2	2	1
2	3	0
2	4	0
2	5	0
2	6	2
2	7	0
2	8	3
2	9	0
2	10	1
2	11	1
2	12	1
2	13	7
2	14	33
2	15	1
2	16	4
2	17	7
2	18	0
2	19	2
2	20	2
2	21	1
2	22	2
2	23	6
2	24	7
3	1	4
3	2	6
3	3	0
3	4	0
3	5	0
3	6	2
3	7	0
3	8	2
3	9	1
3	10	6
3	11	2
3	12	6
3	13	1
3	14	2
3	15	1
3	16	1
3	17	2
3	18	1
3	19	9
3	20	12
3	21	1
3	22	0
3	23	0
3	24	0
4	1	2
4	2	0
4	3	0
4	4	0
4	5	0
4	6	2
4	7	0
4	8	2
4	9	2
4	10	2
4	11	5
4	12	6
4	13	5
4	14	3
4	15	5
4	16	10
4	17	2
4	18	3
4	19	7
4	20	0
4	21	1
4	22	1
4	23	0
4	24	0
5	1	10
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	2
5	10	7
5	11	4
5	12	7
5	13	4
5	14	5
5	15	7
5	16	4
5	17	5
5	18	0
5	19	0
5	20	1
5	21	3
5	22	1
5	23	0
5	24	0
6	1	0
6	2	2
6	3	0
6	4	0
6	5	0
6	6	0
6	7	2
6	8	3
6	9	0
6	10	1
6	11	1
6	12	3
6	13	8
6	14	0
6	15	3
6	16	6
6	17	4
6	18	0
6	19	1
6	20	1
6	21	8
6	22	0
6	23	0
6	24	0
7	1	1
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	2
7	8	1
7	9	1
7	10	0
7	11	0
7	12	1
7	13	3
7	14	3
7	15	3
7	16	2
7	17	0
7	18	4
7	19	3
7	20	1
7	21	0
7	22	0
7	23	0
7	24	0
