day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	1
1	12	7
1	13	3
1	14	4
1	15	3
1	16	7
1	17	2
1	18	1
1	19	3
1	20	2
1	21	4
1	22	4
1	23	7
1	24	3
2	1	2
2	2	0
2	3	2
2	4	1
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	7
2	11	2
2	12	4
2	13	0
2	14	5
2	15	6
2	16	6
2	17	7
2	18	14
2	19	8
2	20	3
2	21	0
2	22	1
2	23	7
2	24	5
3	1	4
3	2	1
3	3	1
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	3
3	12	2
3	13	4
3	14	8
3	15	9
3	16	3
3	17	5
3	18	7
3	19	6
3	20	6
3	21	1
3	22	2
3	23	6
3	24	11
4	1	5
4	2	3
4	3	1
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	2
4	12	2
4	13	3
4	14	8
4	15	3
4	16	9
4	17	12
4	18	35
4	19	1
4	20	5
4	21	5
4	22	1
4	23	3
4	24	3
5	1	4
5	2	2
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	2
5	10	1
5	11	3
5	12	6
5	13	68
5	14	7
5	15	2
5	16	3
5	17	21
5	18	4
5	19	6
5	20	2
5	21	2
5	22	2
5	23	2
5	24	2
6	1	1
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	0
6	10	1
6	11	1
6	12	2
6	13	2
6	14	0
6	15	4
6	16	1
6	17	4
6	18	4
6	19	2
6	20	1
6	21	7
6	22	4
6	23	17
6	24	5
7	1	0
7	2	1
7	3	0
7	4	2
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	2
7	11	1
7	12	8
7	13	7
7	14	4
7	15	4
7	16	1
7	17	1
7	18	1
7	19	4
7	20	0
7	21	4
7	22	2
7	23	2
7	24	2
