day	hour	value
1	1	5
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	4
1	11	1
1	12	2
1	13	11
1	14	5
1	15	1
1	16	1
1	17	0
1	18	2
1	19	7
1	20	1
1	21	3
1	22	2
1	23	3
1	24	0
2	1	2
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	3
2	12	6
2	13	3
2	14	7
2	15	7
2	16	6
2	17	3
2	18	1
2	19	3
2	20	4
2	21	9
2	22	3
2	23	4
2	24	0
3	1	3
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	5
3	12	6
3	13	9
3	14	3
3	15	3
3	16	2
3	17	6
3	18	0
3	19	0
3	20	2
3	21	3
3	22	2
3	23	1
3	24	0
4	1	2
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	2
4	11	4
4	12	5
4	13	2
4	14	1
4	15	7
4	16	0
4	17	0
4	18	4
4	19	4
4	20	4
4	21	13
4	22	14
4	23	13
4	24	5
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	2
5	11	9
5	12	7
5	13	3
5	14	2
5	15	3
5	16	1
5	17	4
5	18	0
5	19	1
5	20	2
5	21	3
5	22	3
5	23	1
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	3
6	13	3
6	14	4
6	15	0
6	16	3
6	17	1
6	18	1
6	19	0
6	20	0
6	21	2
6	22	0
6	23	1
6	24	2
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	4
7	12	5
7	13	2
7	14	2
7	15	1
7	16	1
7	17	1
7	18	0
7	19	0
7	20	2
7	21	0
7	22	1
7	23	1
7	24	0
