day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	1
1	12	10
1	13	4
1	14	11
1	15	5
1	16	6
1	17	1
1	18	3
1	19	7
1	20	3
1	21	3
1	22	2
1	23	3
1	24	0
2	1	0
2	2	0
2	3	1
2	4	0
2	5	0
2	6	0
2	7	0
2	8	3
2	9	1
2	10	3
2	11	1
2	12	6
2	13	2
2	14	3
2	15	8
2	16	7
2	17	4
2	18	4
2	19	6
2	20	7
2	21	1
2	22	3
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	2
3	10	0
3	11	3
3	12	8
3	13	7
3	14	1
3	15	6
3	16	7
3	17	2
3	18	5
3	19	3
3	20	3
3	21	7
3	22	0
3	23	3
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	2
4	9	3
4	10	3
4	11	1
4	12	6
4	13	4
4	14	7
4	15	3
4	16	7
4	17	1
4	18	3
4	19	3
4	20	2
4	21	4
4	22	0
4	23	0
4	24	3
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	3
5	13	2
5	14	10
5	15	1
5	16	10
5	17	7
5	18	1
5	19	1
5	20	8
5	21	0
5	22	1
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	3
6	10	6
6	11	0
6	12	0
6	13	2
6	14	6
6	15	4
6	16	8
6	17	1
6	18	0
6	19	2
6	20	3
6	21	0
6	22	1
6	23	4
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	4
7	11	1
7	12	5
7	13	3
7	14	2
7	15	1
7	16	6
7	17	4
7	18	2
7	19	1
7	20	1
7	21	2
7	22	6
7	23	0
7	24	0
