day	hour	value
1	1	0
1	2	1
1	3	2
1	4	12
1	5	1
1	6	3
1	7	0
1	8	0
1	9	0
1	10	0
1	11	18
1	12	7
1	13	0
1	14	2
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	3
2	2	6
2	3	9
2	4	3
2	5	0
2	6	3
2	7	6
2	8	0
2	9	2
2	10	2
2	11	3
2	12	0
2	13	3
2	14	1
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	3
3	2	1
3	3	0
3	4	0
3	5	0
3	6	2
3	7	0
3	8	0
3	9	0
3	10	1
3	11	4
3	12	1
3	13	1
3	14	1
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	2
4	3	4
4	4	0
4	5	0
4	6	1
4	7	1
4	8	0
4	9	4
4	10	18
4	11	0
4	12	5
4	13	5
4	14	0
4	15	0
4	16	0
4	17	0
4	18	0
4	19	0
4	20	1
4	21	0
4	22	0
4	23	1
4	24	0
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	6
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	1
5	14	6
5	15	10
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	3
6	14	4
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	1
7	2	0
7	3	2
7	4	1
7	5	2
7	6	3
7	7	2
7	8	0
7	9	0
7	10	1
7	11	2
7	12	0
7	13	0
7	14	0
7	15	2
7	16	1
7	17	0
7	18	0
7	19	0
7	20	0
7	21	4
7	22	1
7	23	0
7	24	4
