day	hour	value
1	1	1
1	2	12
1	3	4
1	4	0
1	5	0
1	6	5
1	7	0
1	8	0
1	9	0
1	10	0
1	11	15
1	12	4
1	13	1
1	14	4
1	15	1
1	16	0
1	17	0
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	2
2	2	6
2	3	12
2	4	1
2	5	2
2	6	4
2	7	13
2	8	5
2	9	3
2	10	17
2	11	5
2	12	2
2	13	12
2	14	3
2	15	0
2	16	0
2	17	0
2	18	0
2	19	3
2	20	0
2	21	1
2	22	1
2	23	0
2	24	0
3	1	3
3	2	3
3	3	1
3	4	2
3	5	0
3	6	5
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	9
3	13	4
3	14	0
3	15	1
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	1
4	4	1
4	5	0
4	6	2
4	7	2
4	8	2
4	9	3
4	10	18
4	11	9
4	12	3
4	13	0
4	14	5
4	15	0
4	16	0
4	17	0
4	18	0
4	19	1
4	20	1
4	21	2
4	22	0
4	23	1
4	24	2
5	1	0
5	2	2
5	3	2
5	4	3
5	5	1
5	6	6
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	3
5	13	0
5	14	0
5	15	3
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	16
6	14	20
6	15	1
6	16	1
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	4
7	2	3
7	3	4
7	4	4
7	5	5
7	6	28
7	7	21
7	8	14
7	9	0
7	10	1
7	11	0
7	12	2
7	13	0
7	14	0
7	15	9
7	16	0
7	17	0
7	18	0
7	19	1
7	20	3
7	21	8
7	22	2
7	23	1
7	24	8
