day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	11
1	9	18
1	10	15
1	11	18
1	12	5
1	13	10
1	14	8
1	15	10
1	16	12
1	17	18
1	18	3
1	19	5
1	20	1
1	21	7
1	22	1
1	23	2
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	8
2	10	8
2	11	18
2	12	6
2	13	4
2	14	2
2	15	12
2	16	5
2	17	8
2	18	2
2	19	3
2	20	1
2	21	3
2	22	2
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	5
3	8	7
3	9	23
3	10	16
3	11	13
3	12	4
3	13	7
3	14	6
3	15	6
3	16	11
3	17	4
3	18	1
3	19	2
3	20	2
3	21	1
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	3
4	9	10
4	10	5
4	11	10
4	12	3
4	13	8
4	14	6
4	15	11
4	16	9
4	17	2
4	18	1
4	19	1
4	20	0
4	21	3
4	22	1
4	23	0
4	24	0
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	4
5	9	18
5	10	12
5	11	8
5	12	6
5	13	6
5	14	8
5	15	4
5	16	10
5	17	7
5	18	1
5	19	1
5	20	0
5	21	2
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	4
6	11	1
6	12	0
6	13	8
6	14	3
6	15	1
6	16	3
6	17	0
6	18	0
6	19	2
6	20	1
6	21	1
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	5
7	9	0
7	10	0
7	11	0
7	12	0
7	13	3
7	14	4
7	15	0
7	16	0
7	17	1
7	18	2
7	19	1
7	20	0
7	21	1
7	22	0
7	23	0
7	24	0
