day	hour	value
1	1	0
1	2	2
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	6
1	12	1
1	13	6
1	14	0
1	15	6
1	16	3
1	17	1
1	18	3
1	19	13
1	20	0
1	21	1
1	22	1
1	23	5
1	24	0
2	1	0
2	2	6
2	3	3
2	4	4
2	5	5
2	6	3
2	7	0
2	8	0
2	9	0
2	10	0
2	11	3
2	12	0
2	13	1
2	14	5
2	15	6
2	16	1
2	17	1
2	18	4
2	19	4
2	20	2
2	21	2
2	22	2
2	23	1
2	24	0
3	1	4
3	2	3
3	3	1
3	4	0
3	5	1
3	6	1
3	7	1
3	8	0
3	9	0
3	10	0
3	11	3
3	12	0
3	13	0
3	14	2
3	15	4
3	16	0
3	17	0
3	18	1
3	19	1
3	20	1
3	21	2
3	22	3
3	23	7
3	24	2
4	1	0
4	2	0
4	3	2
4	4	6
4	5	2
4	6	0
4	7	0
4	8	0
4	9	0
4	10	2
4	11	3
4	12	0
4	13	1
4	14	11
4	15	8
4	16	2
4	17	0
4	18	2
4	19	7
4	20	1
4	21	0
4	22	0
4	23	3
4	24	0
5	1	0
5	2	2
5	3	12
5	4	1
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	8
5	12	0
5	13	3
5	14	5
5	15	3
5	16	2
5	17	0
5	18	4
5	19	5
5	20	0
5	21	0
5	22	0
5	23	2
5	24	2
6	1	1
6	2	5
6	3	5
6	4	4
6	5	1
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	5
6	12	2
6	13	1
6	14	11
6	15	6
6	16	4
6	17	2
6	18	4
6	19	7
6	20	1
6	21	2
6	22	2
6	23	2
6	24	0
7	1	0
7	2	0
7	3	6
7	4	2
7	5	1
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	3
7	12	1
7	13	3
7	14	7
7	15	7
7	16	2
7	17	3
7	18	2
7	19	6
7	20	1
7	21	0
7	22	1
7	23	2
7	24	0
