day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	4
1	10	5
1	11	1
1	12	1
1	13	4
1	14	0
1	15	1
1	16	2
1	17	25
1	18	41
1	19	7
1	20	4
1	21	0
1	22	0
1	23	1
1	24	0
2	1	4
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	3
2	8	1
2	9	3
2	10	1
2	11	1
2	12	1
2	13	0
2	14	0
2	15	1
2	16	0
2	17	5
2	18	6
2	19	3
2	20	1
2	21	0
2	22	0
2	23	2
2	24	2
3	1	1
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	5
3	10	1
3	11	4
3	12	5
3	13	26
3	14	24
3	15	2
3	16	4
3	17	1
3	18	2
3	19	7
3	20	1
3	21	0
3	22	0
3	23	0
3	24	0
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	2
4	9	2
4	10	1
4	11	2
4	12	0
4	13	0
4	14	0
4	15	0
4	16	1
4	17	1
4	18	1
4	19	2
4	20	4
4	21	0
4	22	0
4	23	2
4	24	2
5	1	2
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	9
5	10	8
5	11	3
5	12	4
5	13	41
5	14	14
5	15	2
5	16	0
5	17	0
5	18	1
5	19	1
5	20	2
5	21	0
5	22	0
5	23	5
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	3
6	6	18
6	7	15
6	8	7
6	9	4
6	10	2
6	11	2
6	12	2
6	13	3
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	4
7	9	4
7	10	0
7	11	2
7	12	4
7	13	0
7	14	0
7	15	1
7	16	0
7	17	1
7	18	4
7	19	0
7	20	0
7	21	1
7	22	0
7	23	0
7	24	1
