day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	1
1	10	5
1	11	11
1	12	15
1	13	1
1	14	5
1	15	1
1	16	2
1	17	2
1	18	3
1	19	3
1	20	4
1	21	6
1	22	3
1	23	1
1	24	3
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	1
2	10	0
2	11	2
2	12	7
2	13	8
2	14	11
2	15	4
2	16	1
2	17	2
2	18	1
2	19	3
2	20	4
2	21	1
2	22	9
2	23	4
2	24	1
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	5
3	10	6
3	11	1
3	12	4
3	13	2
3	14	5
3	15	2
3	16	4
3	17	0
3	18	8
3	19	3
3	20	4
3	21	3
3	22	7
3	23	1
3	24	2
4	1	3
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	3
4	10	8
4	11	3
4	12	4
4	13	6
4	14	9
4	15	10
4	16	2
4	17	2
4	18	3
4	19	2
4	20	2
4	21	12
4	22	5
4	23	10
4	24	3
5	1	2
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	5
5	10	20
5	11	10
5	12	3
5	13	1
5	14	2
5	15	5
5	16	1
5	17	1
5	18	6
5	19	11
5	20	5
5	21	5
5	22	2
5	23	1
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	6
6	12	4
6	13	3
6	14	4
6	15	4
6	16	1
6	17	1
6	18	4
6	19	0
6	20	1
6	21	8
6	22	8
6	23	2
6	24	3
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	0
7	9	1
7	10	2
7	11	1
7	12	2
7	13	2
7	14	4
7	15	0
7	16	3
7	17	3
7	18	1
7	19	4
7	20	3
7	21	3
7	22	3
7	23	7
7	24	0
