day	hour	value
1	1	1
1	2	0
1	3	1
1	4	2
1	5	1
1	6	1
1	7	3
1	8	8
1	9	8
1	10	6
1	11	8
1	12	5
1	13	7
1	14	6
1	15	4
1	16	8
1	17	7
1	18	7
1	19	4
1	20	4
1	21	4
1	22	8
1	23	4
1	24	3
2	1	3
2	2	3
2	3	1
2	4	2
2	5	0
2	6	4
2	7	3
2	8	8
2	9	7
2	10	6
2	11	7
2	12	6
2	13	9
2	14	5
2	15	4
2	16	8
2	17	3
2	18	5
2	19	1
2	20	4
2	21	2
2	22	4
2	23	5
2	24	6
3	1	0
3	2	2
3	3	0
3	4	1
3	5	1
3	6	1
3	7	0
3	8	6
3	9	3
3	10	5
3	11	2
3	12	4
3	13	1
3	14	5
3	15	3
3	16	2
3	17	5
3	18	2
3	19	2
3	20	2
3	21	1
3	22	5
3	23	0
3	24	2
4	1	1
4	2	1
4	3	3
4	4	2
4	5	1
4	6	1
4	7	1
4	8	10
4	9	6
4	10	8
4	11	6
4	12	5
4	13	3
4	14	8
4	15	6
4	16	5
4	17	7
4	18	5
4	19	5
4	20	2
4	21	3
4	22	4
4	23	6
4	24	2
5	1	1
5	2	1
5	3	1
5	4	3
5	5	1
5	6	2
5	7	2
5	8	8
5	9	5
5	10	7
5	11	5
5	12	3
5	13	8
5	14	4
5	15	2
5	16	5
5	17	7
5	18	6
5	19	4
5	20	2
5	21	6
5	22	1
5	23	3
5	24	2
6	1	2
6	2	0
6	3	1
6	4	3
6	5	0
6	6	1
6	7	0
6	8	2
6	9	4
6	10	5
6	11	2
6	12	4
6	13	6
6	14	2
6	15	3
6	16	2
6	17	2
6	18	4
6	19	2
6	20	2
6	21	3
6	22	2
6	23	1
6	24	1
7	1	2
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	3
7	8	3
7	9	3
7	10	5
7	11	5
7	12	2
7	13	4
7	14	3
7	15	6
7	16	5
7	17	2
7	18	4
7	19	2
7	20	1
7	21	3
7	22	0
7	23	3
7	24	4
