day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	0
1	10	2
1	11	1
1	12	10
1	13	9
1	14	6
1	15	13
1	16	8
1	17	5
1	18	13
1	19	7
1	20	1
1	21	0
1	22	1
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	2
2	11	2
2	12	10
2	13	11
2	14	6
2	15	10
2	16	10
2	17	2
2	18	12
2	19	7
2	20	0
2	21	0
2	22	2
2	23	0
2	24	1
3	1	1
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	1
3	11	13
3	12	18
3	13	15
3	14	8
3	15	2
3	16	4
3	17	1
3	18	12
3	19	7
3	20	0
3	21	5
3	22	0
3	23	2
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	5
4	10	2
4	11	1
4	12	25
4	13	22
4	14	7
4	15	11
4	16	7
4	17	1
4	18	12
4	19	5
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	1
5	11	1
5	12	11
5	13	10
5	14	3
5	15	10
5	16	11
5	17	1
5	18	12
5	19	7
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	1
6	11	0
6	12	12
6	13	9
6	14	4
6	15	11
6	16	3
6	17	1
6	18	0
6	19	1
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	11
7	13	8
7	14	3
7	15	11
7	16	8
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
