day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	3
1	11	1
1	12	0
1	13	0
1	14	2
1	15	0
1	16	2
1	17	2
1	18	0
1	19	0
1	20	0
1	21	3
1	22	4
1	23	3
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	1
2	10	2
2	11	4
2	12	1
2	13	4
2	14	3
2	15	2
2	16	2
2	17	2
2	18	3
2	19	2
2	20	3
2	21	6
2	22	30
2	23	3
2	24	4
3	1	0
3	2	3
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	3
3	10	1
3	11	2
3	12	1
3	13	2
3	14	7
3	15	1
3	16	5
3	17	2
3	18	0
3	19	1
3	20	2
3	21	7
3	22	6
3	23	1
3	24	1
4	1	0
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	3
4	10	3
4	11	1
4	12	3
4	13	4
4	14	1
4	15	1
4	16	1
4	17	0
4	18	0
4	19	1
4	20	2
4	21	3
4	22	6
4	23	3
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	4
5	11	4
5	12	5
5	13	3
5	14	9
5	15	3
5	16	1
5	17	4
5	18	1
5	19	2
5	20	3
5	21	2
5	22	1
5	23	4
5	24	1
6	1	0
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	1
6	10	1
6	11	2
6	12	2
6	13	2
6	14	0
6	15	0
6	16	2
6	17	0
6	18	0
6	19	0
6	20	2
6	21	0
6	22	1
6	23	1
6	24	0
7	1	0
7	2	0
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	2
7	11	1
7	12	2
7	13	1
7	14	0
7	15	1
7	16	0
7	17	0
7	18	1
7	19	0
7	20	3
7	21	2
7	22	1
7	23	0
7	24	2
