day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	4
1	10	12
1	11	8
1	12	1
1	13	5
1	14	10
1	15	4
1	16	12
1	17	9
1	18	8
1	19	4
1	20	3
1	21	0
1	22	3
1	23	2
1	24	3
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	8
2	10	14
2	11	8
2	12	6
2	13	2
2	14	7
2	15	12
2	16	14
2	17	6
2	18	4
2	19	10
2	20	9
2	21	2
2	22	2
2	23	2
2	24	2
3	1	1
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	4
3	10	6
3	11	7
3	12	12
3	13	9
3	14	5
3	15	10
3	16	7
3	17	2
3	18	5
3	19	3
3	20	5
3	21	2
3	22	6
3	23	3
3	24	7
4	1	3
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	3
4	9	4
4	10	11
4	11	3
4	12	8
4	13	12
4	14	8
4	15	4
4	16	4
4	17	8
4	18	1
4	19	4
4	20	5
4	21	7
4	22	5
4	23	0
4	24	1
5	1	3
5	2	0
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	6
5	11	7
5	12	9
5	13	7
5	14	8
5	15	11
5	16	10
5	17	1
5	18	1
5	19	1
5	20	4
5	21	6
5	22	0
5	23	1
5	24	1
6	1	6
6	2	2
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	3
6	12	6
6	13	0
6	14	1
6	15	1
6	16	2
6	17	6
6	18	1
6	19	3
6	20	3
6	21	1
6	22	3
6	23	4
6	24	0
7	1	2
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	2
7	11	5
7	12	3
7	13	2
7	14	5
7	15	5
7	16	1
7	17	4
7	18	2
7	19	4
7	20	5
7	21	1
7	22	6
7	23	2
7	24	2
