day	hour	value
1	1	2
1	2	1
1	3	6
1	4	0
1	5	0
1	6	1
1	7	5
1	8	4
1	9	5
1	10	9
1	11	10
1	12	0
1	13	9
1	14	5
1	15	5
1	16	9
1	17	2
1	18	6
1	19	5
1	20	6
1	21	0
1	22	4
1	23	1
1	24	2
2	1	0
2	2	2
2	3	3
2	4	2
2	5	2
2	6	2
2	7	2
2	8	0
2	9	3
2	10	4
2	11	0
2	12	5
2	13	0
2	14	4
2	15	2
2	16	4
2	17	4
2	18	3
2	19	1
2	20	1
2	21	1
2	22	1
2	23	1
2	24	3
3	1	2
3	2	1
3	3	2
3	4	0
3	5	1
3	6	3
3	7	0
3	8	0
3	9	4
3	10	0
3	11	5
3	12	3
3	13	5
3	14	2
3	15	5
3	16	5
3	17	5
3	18	4
3	19	5
3	20	5
3	21	0
3	22	2
3	23	3
3	24	2
4	1	0
4	2	2
4	3	3
4	4	1
4	5	1
4	6	1
4	7	1
4	8	3
4	9	5
4	10	0
4	11	4
4	12	2
4	13	4
4	14	1
4	15	2
4	16	4
4	17	4
4	18	5
4	19	3
4	20	4
4	21	3
4	22	4
4	23	0
4	24	4
5	1	1
5	2	1
5	3	0
5	4	4
5	5	0
5	6	0
5	7	2
5	8	0
5	9	4
5	10	4
5	11	0
5	12	3
5	13	0
5	14	5
5	15	1
5	16	0
5	17	0
5	18	5
5	19	0
5	20	2
5	21	3
5	22	2
5	23	0
5	24	0
6	1	1
6	2	0
6	3	0
6	4	1
6	5	0
6	6	0
6	7	2
6	8	0
6	9	0
6	10	1
6	11	0
6	12	0
6	13	0
6	14	0
6	15	3
6	16	2
6	17	0
6	18	1
6	19	2
6	20	2
6	21	0
6	22	4
6	23	3
6	24	4
7	1	4
7	2	2
7	3	2
7	4	1
7	5	1
7	6	3
7	7	3
7	8	4
7	9	2
7	10	5
7	11	7
7	12	3
7	13	2
7	14	1
7	15	4
7	16	1
7	17	2
7	18	5
7	19	2
7	20	2
7	21	2
7	22	1
7	23	4
7	24	2
