day	hour	value
1	1	23
1	2	4
1	3	4
1	4	1
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	1
1	17	0
1	18	11
1	19	10
1	20	0
1	21	0
1	22	4
1	23	1
1	24	3
2	1	4
2	2	3
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	5
2	18	8
2	19	0
2	20	0
2	21	7
2	22	4
2	23	3
2	24	0
3	1	6
3	2	5
3	3	20
3	4	1
3	5	5
3	6	23
3	7	3
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	7
3	18	3
3	19	0
3	20	2
3	21	4
3	22	11
3	23	2
3	24	1
4	1	10
4	2	32
4	3	2
4	4	1
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	0
4	17	2
4	18	0
4	19	5
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	3
5	9	16
5	10	7
5	11	5
5	12	5
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	6
5	19	0
5	20	1
5	21	0
5	22	0
5	23	2
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	5
7	22	4
7	23	0
7	24	0
