day	hour	value
1	1	0
1	2	0
1	3	0
1	4	1
1	5	1
1	6	4
1	7	1
1	8	10
1	9	2
1	10	3
1	11	6
1	12	5
1	13	4
1	14	4
1	15	1
1	16	1
1	17	5
1	18	1
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	3
2	4	2
2	5	2
2	6	6
2	7	0
2	8	1
2	9	3
2	10	1
2	11	1
2	12	3
2	13	2
2	14	2
2	15	0
2	16	0
2	17	1
2	18	1
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	2
3	4	0
3	5	2
3	6	1
3	7	2
3	8	1
3	9	3
3	10	1
3	11	3
3	12	1
3	13	1
3	14	2
3	15	3
3	16	1
3	17	0
3	18	1
3	19	1
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	1
4	3	0
4	4	0
4	5	1
4	6	0
4	7	2
4	8	2
4	9	2
4	10	2
4	11	1
4	12	1
4	13	3
4	14	5
4	15	0
4	16	3
4	17	1
4	18	2
4	19	0
4	20	1
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	1
5	4	4
5	5	2
5	6	0
5	7	0
5	8	1
5	9	1
5	10	2
5	11	2
5	12	2
5	13	0
5	14	1
5	15	0
5	16	0
5	17	0
5	18	3
5	19	0
5	20	2
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	1
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	0
6	13	2
6	14	0
6	15	0
6	16	1
6	17	1
6	18	0
6	19	1
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	1
7	7	1
7	8	2
7	9	0
7	10	3
7	11	2
7	12	2
7	13	0
7	14	2
7	15	0
7	16	0
7	17	1
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
