day	hour	value
1	1	0
1	2	0
1	3	3
1	4	3
1	5	1
1	6	3
1	7	1
1	8	2
1	9	0
1	10	8
1	11	2
1	12	10
1	13	0
1	14	3
1	15	2
1	16	2
1	17	2
1	18	0
1	19	0
1	20	1
1	21	0
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	2
2	4	2
2	5	2
2	6	7
2	7	4
2	8	5
2	9	1
2	10	2
2	11	0
2	12	4
2	13	0
2	14	0
2	15	1
2	16	3
2	17	1
2	18	8
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
3	1	1
3	2	0
3	3	5
3	4	4
3	5	1
3	6	5
3	7	3
3	8	4
3	9	2
3	10	3
3	11	6
3	12	1
3	13	3
3	14	0
3	15	4
3	16	0
3	17	4
3	18	1
3	19	0
3	20	0
3	21	2
3	22	1
3	23	0
3	24	0
4	1	1
4	2	0
4	3	4
4	4	0
4	5	0
4	6	2
4	7	3
4	8	1
4	9	3
4	10	1
4	11	2
4	12	5
4	13	1
4	14	0
4	15	1
4	16	4
4	17	2
4	18	2
4	19	1
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	6
5	4	2
5	5	1
5	6	3
5	7	4
5	8	2
5	9	3
5	10	5
5	11	0
5	12	2
5	13	0
5	14	1
5	15	2
5	16	1
5	17	1
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	3
6	3	0
6	4	3
6	5	5
6	6	0
6	7	1
6	8	1
6	9	0
6	10	1
6	11	0
6	12	1
6	13	0
6	14	0
6	15	0
6	16	1
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	3
7	4	1
7	5	1
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	4
7	12	2
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	1
7	19	1
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
