day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	2
1	9	6
1	10	8
1	11	7
1	12	3
1	13	1
1	14	3
1	15	0
1	16	0
1	17	4
1	18	8
1	19	9
1	20	1
1	21	0
1	22	3
1	23	5
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	5
2	8	0
2	9	0
2	10	5
2	11	2
2	12	3
2	13	5
2	14	3
2	15	2
2	16	0
2	17	8
2	18	12
2	19	1
2	20	6
2	21	11
2	22	11
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	1
3	10	0
3	11	8
3	12	0
3	13	3
3	14	6
3	15	6
3	16	0
3	17	0
3	18	1
3	19	2
3	20	4
3	21	0
3	22	3
3	23	5
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	3
4	11	5
4	12	6
4	13	3
4	14	11
4	15	10
4	16	1
4	17	3
4	18	2
4	19	1
4	20	14
4	21	1
4	22	4
4	23	8
4	24	4
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	2
5	7	7
5	8	0
5	9	1
5	10	4
5	11	7
5	12	3
5	13	8
5	14	1
5	15	0
5	16	0
5	17	1
5	18	1
5	19	3
5	20	1
5	21	0
5	22	0
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	0
6	10	1
6	11	1
6	12	5
6	13	6
6	14	0
6	15	0
6	16	1
6	17	6
6	18	2
6	19	1
6	20	10
6	21	2
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	1
7	6	0
7	7	0
7	8	0
7	9	0
7	10	2
7	11	5
7	12	6
7	13	11
7	14	3
7	15	0
7	16	1
7	17	9
7	18	4
7	19	4
7	20	1
7	21	6
7	22	1
7	23	0
7	24	0
