day	hour	value
1	1	13
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	0
1	10	6
1	11	2
1	12	0
1	13	4
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	2
1	20	0
1	21	2
1	22	7
1	23	6
1	24	0
2	1	9
2	2	2
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	2
2	9	2
2	10	0
2	11	0
2	12	0
2	13	2
2	14	0
2	15	0
2	16	1
2	17	0
2	18	5
2	19	1
2	20	0
2	21	10
2	22	1
2	23	1
2	24	0
3	1	4
3	2	0
3	3	5
3	4	0
3	5	0
3	6	0
3	7	0
3	8	2
3	9	3
3	10	0
3	11	0
3	12	7
3	13	4
3	14	0
3	15	4
3	16	2
3	17	5
3	18	2
3	19	0
3	20	4
3	21	4
3	22	10
3	23	7
3	24	0
4	1	3
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	2
4	9	2
4	10	4
4	11	14
4	12	6
4	13	4
4	14	1
4	15	1
4	16	0
4	17	1
4	18	0
4	19	1
4	20	8
4	21	3
4	22	3
4	23	4
4	24	1
5	1	7
5	2	8
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	3
5	10	0
5	11	0
5	12	5
5	13	3
5	14	0
5	15	7
5	16	0
5	17	1
5	18	20
5	19	5
5	20	9
5	21	10
5	22	11
5	23	2
5	24	6
6	1	6
6	2	2
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	1
6	10	1
6	11	0
6	12	1
6	13	0
6	14	0
6	15	1
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	2
7	1	8
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	5
7	9	4
7	10	0
7	11	0
7	12	0
7	13	2
7	14	1
7	15	1
7	16	3
7	17	10
7	18	0
7	19	1
7	20	4
7	21	0
7	22	0
7	23	3
7	24	2
