day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	3
1	12	3
1	13	3
1	14	11
1	15	2
1	16	4
1	17	8
1	18	7
1	19	0
1	20	1
1	21	7
1	22	9
1	23	10
1	24	20
2	1	4
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	5
2	13	3
2	14	3
2	15	2
2	16	4
2	17	2
2	18	0
2	19	2
2	20	2
2	21	2
2	22	3
2	23	5
2	24	3
3	1	12
3	2	3
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	5
3	12	2
3	13	5
3	14	2
3	15	0
3	16	0
3	17	4
3	18	1
3	19	5
3	20	7
3	21	10
3	22	4
3	23	4
3	24	6
4	1	10
4	2	1
4	3	0
4	4	1
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	2
4	12	6
4	13	0
4	14	2
4	15	5
4	16	0
4	17	4
4	18	9
4	19	4
4	20	6
4	21	7
4	22	2
4	23	4
4	24	2
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	0
5	12	4
5	13	4
5	14	4
5	15	2
5	16	1
5	17	1
5	18	0
5	19	0
5	20	0
5	21	8
5	22	13
5	23	11
5	24	2
6	1	5
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	1
6	13	11
6	14	3
6	15	4
6	16	1
6	17	0
6	18	4
6	19	2
6	20	4
6	21	2
6	22	11
6	23	4
6	24	16
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	3
7	12	1
7	13	3
7	14	5
7	15	3
7	16	5
7	17	0
7	18	2
7	19	4
7	20	2
7	21	2
7	22	3
7	23	1
7	24	1
