day	hour	value
1	1	1
1	2	0
1	3	1
1	4	0
1	5	1
1	6	0
1	7	0
1	8	0
1	9	0
1	10	1
1	11	1
1	12	0
1	13	3
1	14	5
1	15	4
1	16	6
1	17	2
1	18	2
1	19	1
1	20	4
1	21	1
1	22	5
1	23	6
1	24	1
2	1	2
2	2	0
2	3	6
2	4	0
2	5	2
2	6	0
2	7	0
2	8	0
2	9	1
2	10	0
2	11	0
2	12	4
2	13	0
2	14	1
2	15	5
2	16	5
2	17	2
2	18	3
2	19	2
2	20	3
2	21	2
2	22	1
2	23	8
2	24	6
3	1	0
3	2	1
3	3	4
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	3
3	12	5
3	13	11
3	14	9
3	15	3
3	16	3
3	17	2
3	18	5
3	19	0
3	20	1
3	21	2
3	22	2
3	23	2
3	24	2
4	1	2
4	2	4
4	3	3
4	4	2
4	5	1
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	3
4	13	6
4	14	12
4	15	3
4	16	4
4	17	6
4	18	5
4	19	3
4	20	7
4	21	4
4	22	5
4	23	1
4	24	1
5	1	1
5	2	6
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	1
5	12	3
5	13	3
5	14	9
5	15	12
5	16	2
5	17	8
5	18	5
5	19	1
5	20	0
5	21	1
5	22	5
5	23	5
5	24	1
6	1	4
6	2	2
6	3	3
6	4	1
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	3
6	12	4
6	13	3
6	14	0
6	15	1
6	16	1
6	17	1
6	18	2
6	19	5
6	20	0
6	21	4
6	22	3
6	23	2
6	24	7
7	1	1
7	2	1
7	3	1
7	4	4
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	2
7	12	1
7	13	1
7	14	7
7	15	5
7	16	2
7	17	1
7	18	3
7	19	1
7	20	1
7	21	2
7	22	0
7	23	0
7	24	5
