day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	1
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	0
1	19	0
1	20	57
1	21	0
1	22	2
1	23	2
1	24	3
2	1	0
2	2	0
2	3	2
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	2
2	11	0
2	12	1
2	13	0
2	14	0
2	15	2
2	16	1
2	17	0
2	18	0
2	19	1
2	20	52
2	21	6
2	22	1
2	23	2
2	24	7
3	1	2
3	2	2
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	1
3	17	0
3	18	0
3	19	0
3	20	43
3	21	0
3	22	2
3	23	3
3	24	1
4	1	1
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	3
4	15	0
4	16	0
4	17	0
4	18	1
4	19	0
4	20	39
4	21	2
4	22	2
4	23	2
4	24	1
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	1
5	13	0
5	14	0
5	15	0
5	16	1
5	17	0
5	18	0
5	19	0
5	20	48
5	21	0
5	22	1
5	23	1
5	24	2
6	1	1
6	2	0
6	3	1
6	4	2
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	1
6	12	0
6	13	0
6	14	3
6	15	0
6	16	0
6	17	0
6	18	2
6	19	0
6	20	32
6	21	1
6	22	2
6	23	1
6	24	2
7	1	1
7	2	0
7	3	0
7	4	1
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	0
7	12	0
7	13	0
7	14	1
7	15	0
7	16	0
7	17	1
7	18	2
7	19	1
7	20	11
7	21	0
7	22	1
7	23	1
7	24	3
