day	hour	value
1	1	2
1	2	0
1	3	1
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	4
1	12	5
1	13	8
1	14	11
1	15	5
1	16	5
1	17	2
1	18	5
1	19	4
1	20	5
1	21	10
1	22	3
1	23	4
1	24	7
2	1	2
2	2	1
2	3	6
2	4	0
2	5	0
2	6	0
2	7	0
2	8	2
2	9	0
2	10	3
2	11	5
2	12	13
2	13	7
2	14	4
2	15	2
2	16	1
2	17	1
2	18	6
2	19	2
2	20	5
2	21	0
2	22	2
2	23	4
2	24	0
3	1	2
3	2	0
3	3	1
3	4	0
3	5	0
3	6	0
3	7	1
3	8	1
3	9	0
3	10	2
3	11	1
3	12	0
3	13	2
3	14	2
3	15	0
3	16	1
3	17	4
3	18	6
3	19	6
3	20	2
3	21	3
3	22	4
3	23	2
3	24	2
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	2
4	11	4
4	12	10
4	13	5
4	14	6
4	15	7
4	16	4
4	17	0
4	18	0
4	19	3
4	20	2
4	21	3
4	22	2
4	23	2
4	24	6
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	2
5	12	4
5	13	5
5	14	10
5	15	14
5	16	0
5	17	1
5	18	11
5	19	0
5	20	3
5	21	1
5	22	3
5	23	4
5	24	0
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	11
6	12	8
6	13	5
6	14	5
6	15	5
6	16	7
6	17	6
6	18	3
6	19	4
6	20	1
6	21	5
6	22	2
6	23	1
6	24	0
7	1	1
7	2	1
7	3	3
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	0
7	13	0
7	14	2
7	15	0
7	16	3
7	17	1
7	18	0
7	19	3
7	20	2
7	21	1
7	22	1
7	23	2
7	24	0
