day	hour	value
1	1	0
1	2	0
1	3	0
1	4	2
1	5	0
1	6	0
1	7	15
1	8	2
1	9	4
1	10	11
1	11	2
1	12	2
1	13	1
1	14	2
1	15	3
1	16	1
1	17	3
1	18	1
1	19	1
1	20	9
1	21	0
1	22	2
1	23	2
1	24	1
2	1	0
2	2	0
2	3	1
2	4	6
2	5	2
2	6	2
2	7	0
2	8	2
2	9	5
2	10	7
2	11	20
2	12	2
2	13	2
2	14	2
2	15	5
2	16	0
2	17	4
2	18	8
2	19	12
2	20	1
2	21	1
2	22	1
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	3
3	7	2
3	8	14
3	9	6
3	10	2
3	11	3
3	12	1
3	13	1
3	14	6
3	15	2
3	16	0
3	17	4
3	18	1
3	19	2
3	20	4
3	21	2
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	1
4	4	2
4	5	0
4	6	1
4	7	5
4	8	8
4	9	1
4	10	2
4	11	8
4	12	3
4	13	5
4	14	3
4	15	0
4	16	4
4	17	0
4	18	1
4	19	0
4	20	1
4	21	0
4	22	1
4	23	2
4	24	0
5	1	0
5	2	0
5	3	0
5	4	4
5	5	3
5	6	2
5	7	1
5	8	0
5	9	1
5	10	1
5	11	3
5	12	1
5	13	0
5	14	3
5	15	3
5	16	6
5	17	3
5	18	0
5	19	1
5	20	1
5	21	2
5	22	3
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	1
6	5	0
6	6	10
6	7	1
6	8	5
6	9	4
6	10	1
6	11	4
6	12	1
6	13	6
6	14	5
6	15	3
6	16	2
6	17	0
6	18	1
6	19	0
6	20	2
6	21	0
6	22	1
6	23	0
6	24	0
7	1	0
7	2	0
7	3	4
7	4	1
7	5	1
7	6	3
7	7	5
7	8	0
7	9	0
7	10	5
7	11	4
7	12	3
7	13	7
7	14	3
7	15	0
7	16	1
7	17	0
7	18	2
7	19	2
7	20	0
7	21	5
7	22	1
7	23	0
7	24	0
