day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	2
1	8	3
1	9	8
1	10	4
1	11	4
1	12	3
1	13	1
1	14	4
1	15	7
1	16	0
1	17	1
1	18	3
1	19	4
1	20	3
1	21	2
1	22	2
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	1
2	5	0
2	6	0
2	7	0
2	8	0
2	9	3
2	10	4
2	11	2
2	12	2
2	13	1
2	14	4
2	15	1
2	16	3
2	17	2
2	18	2
2	19	5
2	20	7
2	21	1
2	22	3
2	23	0
2	24	4
3	1	1
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	7
3	10	1
3	11	2
3	12	7
3	13	7
3	14	2
3	15	6
3	16	6
3	17	4
3	18	1
3	19	3
3	20	3
3	21	4
3	22	5
3	23	3
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	3
4	10	4
4	11	8
4	12	5
4	13	5
4	14	1
4	15	1
4	16	2
4	17	2
4	18	6
4	19	3
4	20	10
4	21	4
4	22	6
4	23	3
4	24	0
5	1	3
5	2	0
5	3	1
5	4	0
5	5	1
5	6	0
5	7	0
5	8	1
5	9	3
5	10	6
5	11	5
5	12	4
5	13	3
5	14	4
5	15	2
5	16	5
5	17	4
5	18	4
5	19	2
5	20	6
5	21	7
5	22	1
5	23	9
5	24	4
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	1
6	7	0
6	8	0
6	9	1
6	10	3
6	11	2
6	12	3
6	13	1
6	14	1
6	15	3
6	16	1
6	17	6
6	18	3
6	19	0
6	20	4
6	21	1
6	22	4
6	23	1
6	24	2
7	1	7
7	2	1
7	3	0
7	4	0
7	5	1
7	6	3
7	7	0
7	8	0
7	9	1
7	10	8
7	11	1
7	12	0
7	13	3
7	14	1
7	15	0
7	16	3
7	17	0
7	18	0
7	19	10
7	20	3
7	21	3
7	22	3
7	23	1
7	24	0
