day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	5
1	12	2
1	13	2
1	14	0
1	15	0
1	16	0
1	17	1
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	2
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	0
2	12	5
2	13	2
2	14	1
2	15	1
2	16	0
2	17	0
2	18	4
2	19	0
2	20	1
2	21	0
2	22	2
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	7
3	11	0
3	12	2
3	13	0
3	14	3
3	15	3
3	16	2
3	17	5
3	18	1
3	19	1
3	20	0
3	21	0
3	22	2
3	23	6
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	3
4	11	0
4	12	9
4	13	0
4	14	3
4	15	3
4	16	0
4	17	0
4	18	2
4	19	3
4	20	0
4	21	0
4	22	9
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	9
5	13	0
5	14	0
5	15	0
5	16	1
5	17	0
5	18	1
5	19	1
5	20	0
5	21	0
5	22	6
5	23	1
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	4
6	12	2
6	13	2
6	14	1
6	15	0
6	16	1
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	2
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	2
7	13	0
7	14	0
7	15	0
7	16	0
7	17	1
7	18	2
7	19	0
7	20	0
7	21	2
7	22	0
7	23	1
7	24	1
