day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	2
1	8	1
1	9	1
1	10	1
1	11	6
1	12	5
1	13	6
1	14	3
1	15	3
1	16	4
1	17	5
1	18	3
1	19	4
1	20	3
1	21	2
1	22	1
1	23	3
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	2
2	9	2
2	10	2
2	11	3
2	12	7
2	13	8
2	14	4
2	15	6
2	16	4
2	17	4
2	18	7
2	19	5
2	20	3
2	21	2
2	22	4
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	2
3	9	2
3	10	9
3	11	3
3	12	4
3	13	3
3	14	7
3	15	8
3	16	9
3	17	12
3	18	4
3	19	5
3	20	3
3	21	2
3	22	5
3	23	7
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	2
4	9	2
4	10	5
4	11	3
4	12	15
4	13	5
4	14	9
4	15	7
4	16	5
4	17	5
4	18	6
4	19	6
4	20	3
4	21	5
4	22	10
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	2
5	8	3
5	9	3
5	10	3
5	11	5
5	12	14
5	13	4
5	14	2
5	15	5
5	16	4
5	17	4
5	18	3
5	19	4
5	20	3
5	21	3
5	22	11
5	23	2
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	2
6	8	3
6	9	3
6	10	4
6	11	6
6	12	5
6	13	5
6	14	4
6	15	3
6	16	4
6	17	3
6	18	1
6	19	2
6	20	2
6	21	2
6	22	7
6	23	4
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	1
7	9	1
7	10	1
7	11	0
7	12	3
7	13	0
7	14	0
7	15	0
7	16	0
7	17	7
7	18	4
7	19	1
7	20	0
7	21	2
7	22	0
7	23	1
7	24	7
