day	hour	value
1	1	10
1	2	0
1	3	1
1	4	5
1	5	2
1	6	1
1	7	5
1	8	0
1	9	1
1	10	5
1	11	0
1	12	7
1	13	11
1	14	0
1	15	6
1	16	6
1	17	2
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	1
1	24	2
2	1	5
2	2	0
2	3	1
2	4	5
2	5	0
2	6	1
2	7	5
2	8	0
2	9	1
2	10	5
2	11	0
2	12	8
2	13	13
2	14	1
2	15	8
2	16	6
2	17	0
2	18	0
2	19	0
2	20	0
2	21	1
2	22	0
2	23	0
2	24	0
3	1	7
3	2	1
3	3	0
3	4	6
3	5	0
3	6	0
3	7	6
3	8	0
3	9	0
3	10	6
3	11	1
3	12	6
3	13	12
3	14	4
3	15	6
3	16	6
3	17	0
3	18	0
3	19	1
3	20	2
3	21	0
3	22	0
3	23	0
3	24	0
4	1	7
4	2	0
4	3	0
4	4	6
4	5	0
4	6	0
4	7	6
4	8	0
4	9	0
4	10	6
4	11	0
4	12	8
4	13	13
4	14	0
4	15	6
4	16	6
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	7
5	2	0
5	3	0
5	4	6
5	5	0
5	6	0
5	7	5
5	8	1
5	9	0
5	10	6
5	11	0
5	12	6
5	13	12
5	14	2
5	15	7
5	16	6
5	17	0
5	18	0
5	19	0
5	20	1
5	21	0
5	22	1
5	23	0
5	24	0
6	1	6
6	2	0
6	3	0
6	4	6
6	5	0
6	6	0
6	7	6
6	8	0
6	9	0
6	10	6
6	11	0
6	12	2
6	13	6
6	14	0
6	15	0
6	16	1
6	17	0
6	18	0
6	19	1
6	20	0
6	21	0
6	22	1
6	23	1
6	24	1
7	1	9
7	2	0
7	3	0
7	4	6
7	5	0
7	6	0
7	7	6
7	8	0
7	9	0
7	10	6
7	11	0
7	12	0
7	13	6
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	2
7	23	1
7	24	5
