day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	4
1	9	0
1	10	1
1	11	8
1	12	0
1	13	3
1	14	18
1	15	1
1	16	4
1	17	4
1	18	0
1	19	2
1	20	1
1	21	2
1	22	3
1	23	2
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	3
2	9	0
2	10	1
2	11	3
2	12	3
2	13	3
2	14	1
2	15	4
2	16	3
2	17	3
2	18	2
2	19	1
2	20	3
2	21	0
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	2
3	10	2
3	11	1
3	12	2
3	13	3
3	14	9
3	15	7
3	16	1
3	17	8
3	18	0
3	19	1
3	20	3
3	21	1
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	1
4	10	4
4	11	3
4	12	5
4	13	0
4	14	16
4	15	8
4	16	4
4	17	0
4	18	0
4	19	2
4	20	1
4	21	0
4	22	4
4	23	1
4	24	2
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	5
5	9	9
5	10	2
5	11	2
5	12	6
5	13	9
5	14	8
5	15	6
5	16	13
5	17	4
5	18	2
5	19	0
5	20	4
5	21	5
5	22	2
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	0
6	10	2
6	11	5
6	12	6
6	13	0
6	14	1
6	15	2
6	16	14
6	17	4
6	18	0
6	19	1
6	20	0
6	21	0
6	22	2
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	2
7	11	5
7	12	2
7	13	7
7	14	1
7	15	1
7	16	0
7	17	0
7	18	6
7	19	2
7	20	0
7	21	1
7	22	0
7	23	2
7	24	0
