day	hour	value
1	1	0
1	2	0
1	3	0
1	4	1
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	3
1	11	1
1	12	0
1	13	3
1	14	0
1	15	0
1	16	1
1	17	0
1	18	2
1	19	1
1	20	2
1	21	9
1	22	6
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	2
2	9	3
2	10	7
2	11	2
2	12	0
2	13	2
2	14	0
2	15	0
2	16	0
2	17	2
2	18	0
2	19	2
2	20	121
2	21	36
2	22	1
2	23	3
2	24	0
3	1	0
3	2	0
3	3	0
3	4	2
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	3
3	11	0
3	12	0
3	13	1
3	14	1
3	15	1
3	16	0
3	17	0
3	18	1
3	19	4
3	20	1
3	21	3
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	2
4	8	5
4	9	0
4	10	1
4	11	1
4	12	1
4	13	1
4	14	1
4	15	1
4	16	3
4	17	5
4	18	3
4	19	2
4	20	0
4	21	2
4	22	1
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	0
5	8	3
5	9	2
5	10	2
5	11	3
5	12	2
5	13	1
5	14	4
5	15	4
5	16	1
5	17	3
5	18	1
5	19	0
5	20	6
5	21	1
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	1
6	10	1
6	11	10
6	12	1
6	13	2
6	14	1
6	15	1
6	16	0
6	17	1
6	18	3
6	19	3
6	20	1
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	4
7	9	2
7	10	1
7	11	4
7	12	0
7	13	8
7	14	3
7	15	5
7	16	1
7	17	3
7	18	2
7	19	2
7	20	0
7	21	0
7	22	1
7	23	0
7	24	0
