day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	5
1	8	1
1	9	1
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	2
1	17	0
1	18	3
1	19	0
1	20	1
1	21	4
1	22	8
1	23	5
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	2
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	2
2	17	1
2	18	1
2	19	0
2	20	0
2	21	0
2	22	0
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	2
3	17	1
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	1
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	0
4	10	1
4	11	0
4	12	1
4	13	0
4	14	0
4	15	0
4	16	3
4	17	0
4	18	0
4	19	2
4	20	0
4	21	2
4	22	0
4	23	1
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	1
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	7
5	16	14
5	17	7
5	18	9
5	19	7
5	20	1
5	21	5
5	22	19
5	23	5
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	9
6	10	1
6	11	1
6	12	0
6	13	0
6	14	0
6	15	1
6	16	0
6	17	0
6	18	0
6	19	4
6	20	2
6	21	1
6	22	3
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	4
7	11	0
7	12	0
7	13	0
7	14	1
7	15	0
7	16	0
7	17	4
7	18	2
7	19	0
7	20	3
7	21	1
7	22	1
7	23	1
7	24	0
