day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	12
1	11	6
1	12	3
1	13	6
1	14	7
1	15	6
1	16	5
1	17	1
1	18	7
1	19	1
1	20	0
1	21	0
1	22	0
1	23	5
1	24	3
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	4
2	10	9
2	11	20
2	12	5
2	13	3
2	14	4
2	15	5
2	16	6
2	17	2
2	18	3
2	19	6
2	20	0
2	21	1
2	22	2
2	23	2
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	8
3	11	8
3	12	9
3	13	13
3	14	11
3	15	6
3	16	3
3	17	2
3	18	2
3	19	9
3	20	14
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	8
4	11	9
4	12	13
4	13	6
4	14	10
4	15	7
4	16	4
4	17	5
4	18	11
4	19	0
4	20	2
4	21	2
4	22	3
4	23	6
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	7
5	11	7
5	12	7
5	13	0
5	14	9
5	15	1
5	16	1
5	17	2
5	18	0
5	19	2
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	6
6	12	4
6	13	0
6	14	1
6	15	9
6	16	6
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	7
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	6
7	11	2
7	12	9
7	13	3
7	14	1
7	15	3
7	16	1
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	2
7	23	0
7	24	0
