day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	3
1	11	5
1	12	4
1	13	6
1	14	2
1	15	1
1	16	4
1	17	3
1	18	0
1	19	0
1	20	1
1	21	0
1	22	0
1	23	0
1	24	2
2	1	0
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	1
2	10	4
2	11	10
2	12	9
2	13	3
2	14	4
2	15	3
2	16	5
2	17	3
2	18	1
2	19	0
2	20	0
2	21	2
2	22	1
2	23	1
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	6
3	11	6
3	12	1
3	13	5
3	14	6
3	15	3
3	16	4
3	17	2
3	18	1
3	19	2
3	20	1
3	21	0
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	4
4	12	4
4	13	7
4	14	4
4	15	3
4	16	2
4	17	3
4	18	2
4	19	0
4	20	0
4	21	2
4	22	1
4	23	0
4	24	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	3
5	11	2
5	12	3
5	13	4
5	14	3
5	15	4
5	16	0
5	17	2
5	18	1
5	19	0
5	20	2
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	2
6	11	0
6	12	1
6	13	0
6	14	0
6	15	0
6	16	4
6	17	1
6	18	0
6	19	0
6	20	0
6	21	0
6	22	2
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	1
7	11	0
7	12	1
7	13	1
7	14	2
7	15	1
7	16	0
7	17	2
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
