day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	3
1	8	1
1	9	3
1	10	14
1	11	12
1	12	11
1	13	10
1	14	4
1	15	13
1	16	5
1	17	2
1	18	0
1	19	10
1	20	2
1	21	1
1	22	1
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	5
2	9	9
2	10	13
2	11	2
2	12	9
2	13	2
2	14	6
2	15	10
2	16	1
2	17	6
2	18	3
2	19	6
2	20	3
2	21	0
2	22	1
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	5
3	8	2
3	9	8
3	10	9
3	11	14
3	12	7
3	13	10
3	14	2
3	15	10
3	16	8
3	17	1
3	18	3
3	19	2
3	20	2
3	21	2
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	3
4	8	3
4	9	11
4	10	3
4	11	2
4	12	12
4	13	18
4	14	10
4	15	10
4	16	12
4	17	4
4	18	9
4	19	17
4	20	4
4	21	1
4	22	3
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	3
5	9	15
5	10	14
5	11	11
5	12	4
5	13	14
5	14	9
5	15	9
5	16	3
5	17	1
5	18	2
5	19	11
5	20	2
5	21	1
5	22	2
5	23	0
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	1
6	11	6
6	12	7
6	13	4
6	14	3
6	15	0
6	16	1
6	17	3
6	18	3
6	19	1
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	11
7	11	4
7	12	7
7	13	3
7	14	0
7	15	2
7	16	2
7	17	5
7	18	10
7	19	11
7	20	3
7	21	1
7	22	0
7	23	0
7	24	0
