day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	7
1	14	1
1	15	10
1	16	1
1	17	0
1	18	1
1	19	0
1	20	1
1	21	6
1	22	2
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0
2	13	0
2	14	0
2	15	3
2	16	15
2	17	5
2	18	9
2	19	21
2	20	7
2	21	3
2	22	8
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	3
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	2
3	12	7
3	13	4
3	14	8
3	15	10
3	16	0
3	17	0
3	18	1
3	19	2
3	20	7
3	21	6
3	22	7
3	23	0
3	24	1
4	1	3
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	4
4	8	13
4	9	4
4	10	4
4	11	0
4	12	13
4	13	15
4	14	10
4	15	0
4	16	0
4	17	0
4	18	0
4	19	14
4	20	20
4	21	5
4	22	2
4	23	3
4	24	0
5	1	2
5	2	0
5	3	1
5	4	1
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	0
5	11	0
5	12	0
5	13	1
5	14	4
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	0
5	21	0
5	22	5
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	2
6	8	23
6	9	2
6	10	5
6	11	1
6	12	0
6	13	5
6	14	14
6	15	0
6	16	9
6	17	7
6	18	5
6	19	10
6	20	5
6	21	4
6	22	1
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	0
7	11	0
7	12	0
7	13	0
7	14	8
7	15	2
7	16	0
7	17	5
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
