day	hour	value
1	1	4
1	2	0
1	3	0
1	4	0
1	5	4
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	6
1	12	12
1	13	0
1	14	0
1	15	4
1	16	1
1	17	4
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	4
1	24	10
2	1	4
2	2	0
2	3	0
2	4	0
2	5	4
2	6	0
2	7	0
2	8	0
2	9	1
2	10	0
2	11	6
2	12	13
2	13	1
2	14	0
2	15	3
2	16	0
2	17	5
2	18	1
2	19	0
2	20	1
2	21	2
2	22	0
2	23	4
2	24	6
3	1	4
3	2	0
3	3	0
3	4	0
3	5	4
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	4
3	12	8
3	13	0
3	14	0
3	15	4
3	16	0
3	17	4
3	18	0
3	19	0
3	20	0
3	21	2
3	22	0
3	23	4
3	24	8
4	1	4
4	2	0
4	3	0
4	4	0
4	5	4
4	6	0
4	7	0
4	8	0
4	9	1
4	10	0
4	11	4
4	12	11
4	13	1
4	14	0
4	15	3
4	16	0
4	17	4
4	18	0
4	19	0
4	20	4
4	21	0
4	22	0
4	23	5
4	24	9
5	1	5
5	2	0
5	3	1
5	4	0
5	5	5
5	6	0
5	7	0
5	8	0
5	9	1
5	10	0
5	11	5
5	12	15
5	13	0
5	14	0
5	15	5
5	16	0
5	17	5
5	18	0
5	19	0
5	20	2
5	21	0
5	22	0
5	23	4
5	24	7
6	1	5
6	2	0
6	3	0
6	4	0
6	5	4
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	5
6	12	10
6	13	0
6	14	0
6	15	3
6	16	0
6	17	5
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	4
6	24	3
7	1	5
7	2	0
7	3	0
7	4	0
7	5	3
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	5
7	12	9
7	13	0
7	14	0
7	15	2
7	16	0
7	17	5
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	3
7	24	5
