day	hour	value
1	1	0
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	3
1	10	1
1	11	4
1	12	1
1	13	3
1	14	0
1	15	7
1	16	2
1	17	0
1	18	2
1	19	3
1	20	2
1	21	1
1	22	2
1	23	3
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	1
2	7	6
2	8	1
2	9	4
2	10	1
2	11	2
2	12	3
2	13	2
2	14	3
2	15	3
2	16	6
2	17	0
2	18	4
2	19	1
2	20	3
2	21	5
2	22	4
2	23	0
2	24	6
3	1	0
3	2	0
3	3	1
3	4	1
3	5	1
3	6	1
3	7	3
3	8	0
3	9	1
3	10	1
3	11	3
3	12	3
3	13	2
3	14	3
3	15	0
3	16	0
3	17	8
3	18	1
3	19	1
3	20	3
3	21	3
3	22	3
3	23	4
3	24	1
4	1	1
4	2	0
4	3	0
4	4	0
4	5	1
4	6	0
4	7	1
4	8	0
4	9	7
4	10	1
4	11	3
4	12	3
4	13	1
4	14	3
4	15	0
4	16	4
4	17	1
4	18	1
4	19	1
4	20	6
4	21	3
4	22	4
4	23	2
4	24	0
5	1	0
5	2	0
5	3	0
5	4	1
5	5	0
5	6	0
5	7	2
5	8	4
5	9	0
5	10	3
5	11	4
5	12	1
5	13	2
5	14	1
5	15	3
5	16	2
5	17	0
5	18	0
5	19	0
5	20	1
5	21	0
5	22	0
5	23	3
5	24	0
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	1
6	8	0
6	9	2
6	10	1
6	11	1
6	12	3
6	13	1
6	14	6
6	15	1
6	16	0
6	17	1
6	18	3
6	19	2
6	20	2
6	21	1
6	22	3
6	23	0
6	24	0
7	1	2
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	5
7	11	0
7	12	1
7	13	1
7	14	0
7	15	1
7	16	2
7	17	0
7	18	1
7	19	1
7	20	0
7	21	5
7	22	2
7	23	0
7	24	3
