day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	1
1	6	0
1	7	3
1	8	0
1	9	1
1	10	4
1	11	5
1	12	2
1	13	1
1	14	0
1	15	2
1	16	0
1	17	0
1	18	2
1	19	3
1	20	1
1	21	2
1	22	0
1	23	4
1	24	0
2	1	0
2	2	0
2	3	0
2	4	4
2	5	0
2	6	1
2	7	7
2	8	1
2	9	6
2	10	1
2	11	2
2	12	2
2	13	2
2	14	8
2	15	2
2	16	2
2	17	3
2	18	5
2	19	3
2	20	1
2	21	4
2	22	2
2	23	2
2	24	0
3	1	0
3	2	0
3	3	1
3	4	3
3	5	1
3	6	2
3	7	3
3	8	0
3	9	2
3	10	2
3	11	2
3	12	4
3	13	5
3	14	2
3	15	1
3	16	1
3	17	5
3	18	2
3	19	1
3	20	1
3	21	5
3	22	2
3	23	2
3	24	0
4	1	0
4	2	0
4	3	1
4	4	0
4	5	2
4	6	0
4	7	1
4	8	0
4	9	3
4	10	4
4	11	0
4	12	3
4	13	2
4	14	2
4	15	0
4	16	4
4	17	1
4	18	5
4	19	1
4	20	8
4	21	4
4	22	6
4	23	2
4	24	0
5	1	0
5	2	1
5	3	0
5	4	0
5	5	0
5	6	1
5	7	5
5	8	1
5	9	1
5	10	7
5	11	9
5	12	0
5	13	0
5	14	0
5	15	5
5	16	2
5	17	0
5	18	0
5	19	0
5	20	4
5	21	1
5	22	1
5	23	0
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	1
6	6	1
6	7	0
6	8	0
6	9	1
6	10	1
6	11	1
6	12	0
6	13	4
6	14	0
6	15	1
6	16	1
6	17	1
6	18	3
6	19	1
6	20	2
6	21	2
6	22	19
6	23	16
6	24	0
7	1	4
7	2	0
7	3	0
7	4	0
7	5	8
7	6	0
7	7	0
7	8	0
7	9	6
7	10	5
7	11	0
7	12	0
7	13	2
7	14	0
7	15	3
7	16	3
7	17	2
7	18	1
7	19	4
7	20	2
7	21	5
7	22	8
7	23	0
7	24	2
