day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	5
1	7	13
1	8	6
1	9	5
1	10	3
1	11	2
1	12	1
1	13	0
1	14	0
1	15	1
1	16	0
1	17	3
1	18	1
1	19	4
1	20	4
1	21	3
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	3
2	7	5
2	8	14
2	9	2
2	10	4
2	11	1
2	12	4
2	13	3
2	14	0
2	15	2
2	16	0
2	17	1
2	18	3
2	19	2
2	20	0
2	21	3
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	1
3	7	6
3	8	10
3	9	2
3	10	2
3	11	0
3	12	0
3	13	0
3	14	1
3	15	1
3	16	0
3	17	3
3	18	0
3	19	5
3	20	1
3	21	1
3	22	2
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	5
4	8	15
4	9	6
4	10	3
4	11	3
4	12	3
4	13	3
4	14	0
4	15	0
4	16	1
4	17	1
4	18	0
4	19	0
4	20	4
4	21	1
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	5
5	7	6
5	8	5
5	9	5
5	10	4
5	11	3
5	12	1
5	13	6
5	14	5
5	15	5
5	16	6
5	17	0
5	18	0
5	19	5
5	20	3
5	21	3
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	4
6	7	5
6	8	6
6	9	6
6	10	10
6	11	11
6	12	9
6	13	10
6	14	3
6	15	18
6	16	7
6	17	0
6	18	3
6	19	2
6	20	4
6	21	0
6	22	0
6	23	5
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	7
7	7	1
7	8	12
7	9	4
7	10	0
7	11	1
7	12	1
7	13	0
7	14	0
7	15	3
7	16	1
7	17	2
7	18	0
7	19	1
7	20	2
7	21	0
7	22	0
7	23	0
7	24	0
