day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	4
1	11	5
1	12	5
1	13	6
1	14	3
1	15	6
1	16	3
1	17	2
1	18	1
1	19	6
1	20	2
1	21	1
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	3
2	12	10
2	13	1
2	14	2
2	15	7
2	16	4
2	17	3
2	18	3
2	19	0
2	20	0
2	21	2
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	0
3	10	0
3	11	2
3	12	6
3	13	5
3	14	2
3	15	6
3	16	10
3	17	17
3	18	8
3	19	3
3	20	0
3	21	3
3	22	0
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	0
4	11	6
4	12	9
4	13	6
4	14	5
4	15	7
4	16	5
4	17	8
4	18	5
4	19	0
4	20	1
4	21	2
4	22	2
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	3
5	10	3
5	11	2
5	12	2
5	13	1
5	14	3
5	15	2
5	16	2
5	17	4
5	18	6
5	19	1
5	20	3
5	21	3
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	1
6	10	1
6	11	7
6	12	2
6	13	4
6	14	3
6	15	9
6	16	3
6	17	4
6	18	0
6	19	5
6	20	2
6	21	3
6	22	2
6	23	0
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	2
7	7	0
7	8	1
7	9	3
7	10	0
7	11	3
7	12	4
7	13	5
7	14	1
7	15	0
7	16	2
7	17	3
7	18	2
7	19	1
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
