day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	8
1	16	9
1	17	7
1	18	15
1	19	3
1	20	3
1	21	5
1	22	6
1	23	9
1	24	3
2	1	0
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	1
2	13	0
2	14	2
2	15	2
2	16	7
2	17	3
2	18	4
2	19	4
2	20	1
2	21	7
2	22	7
2	23	10
2	24	2
3	1	3
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	2
3	13	0
3	14	1
3	15	3
3	16	10
3	17	5
3	18	5
3	19	1
3	20	2
3	21	3
3	22	4
3	23	17
3	24	3
4	1	3
4	2	0
4	3	0
4	4	1
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	0
4	12	2
4	13	5
4	14	3
4	15	7
4	16	7
4	17	8
4	18	24
4	19	5
4	20	0
4	21	1
4	22	4
4	23	13
4	24	2
5	1	1
5	2	3
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	1
5	13	3
5	14	4
5	15	5
5	16	9
5	17	10
5	18	9
5	19	3
5	20	1
5	21	3
5	22	4
5	23	6
5	24	2
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	4
6	13	5
6	14	4
6	15	3
6	16	9
6	17	4
6	18	5
6	19	6
6	20	4
6	21	6
6	22	4
6	23	6
6	24	1
7	1	1
7	2	4
7	3	1
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	5
7	15	3
7	16	8
7	17	1
7	18	4
7	19	0
7	20	1
7	21	3
7	22	3
7	23	8
7	24	3
