day	hour	value
1	1	0
1	2	0
1	3	4
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	4
1	15	3
1	16	3
1	17	4
1	18	16
1	19	4
1	20	6
1	21	3
1	22	4
1	23	2
1	24	2
2	1	1
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	1
2	12	1
2	13	2
2	14	6
2	15	11
2	16	11
2	17	9
2	18	4
2	19	6
2	20	3
2	21	1
2	22	1
2	23	2
2	24	1
3	1	0
3	2	0
3	3	1
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	2
3	14	6
3	15	17
3	16	9
3	17	3
3	18	9
3	19	7
3	20	7
3	21	1
3	22	1
3	23	3
3	24	3
4	1	1
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	0
4	13	6
4	14	8
4	15	14
4	16	12
4	17	14
4	18	11
4	19	5
4	20	2
4	21	5
4	22	2
4	23	0
4	24	0
5	1	1
5	2	0
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	0
5	11	0
5	12	0
5	13	0
5	14	5
5	15	4
5	16	1
5	17	11
5	18	5
5	19	7
5	20	3
5	21	5
5	22	1
5	23	1
5	24	0
6	1	0
6	2	2
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	1
6	14	2
6	15	3
6	16	3
6	17	2
6	18	1
6	19	3
6	20	1
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	0
7	14	1
7	15	7
7	16	2
7	17	0
7	18	2
7	19	0
7	20	2
7	21	0
7	22	2
7	23	0
7	24	1
