day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	2
1	10	0
1	11	3
1	12	6
1	13	3
1	14	3
1	15	1
1	16	0
1	17	2
1	18	0
1	19	3
1	20	7
1	21	22
1	22	18
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	2
2	9	0
2	10	0
2	11	3
2	12	5
2	13	2
2	14	7
2	15	0
2	16	2
2	17	0
2	18	2
2	19	14
2	20	16
2	21	4
2	22	5
2	23	4
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	2
3	9	3
3	10	1
3	11	5
3	12	3
3	13	0
3	14	3
3	15	3
3	16	2
3	17	5
3	18	6
3	19	6
3	20	7
3	21	10
3	22	11
3	23	8
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	3
4	9	1
4	10	3
4	11	2
4	12	4
4	13	3
4	14	3
4	15	0
4	16	1
4	17	0
4	18	5
4	19	3
4	20	12
4	21	7
4	22	8
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	2
5	9	0
5	10	3
5	11	12
5	12	7
5	13	3
5	14	5
5	15	1
5	16	0
5	17	3
5	18	8
5	19	2
5	20	6
5	21	7
5	22	8
5	23	15
5	24	6
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	2
7	20	5
7	21	4
7	22	6
7	23	1
7	24	0
