day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	9
1	11	6
1	12	3
1	13	6
1	14	6
1	15	11
1	16	6
1	17	3
1	18	1
1	19	5
1	20	2
1	21	1
1	22	1
1	23	5
1	24	1
2	1	2
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	2
2	9	1
2	10	1
2	11	15
2	12	10
2	13	3
2	14	6
2	15	1
2	16	6
2	17	4
2	18	7
2	19	3
2	20	1
2	21	2
2	22	1
2	23	1
2	24	2
3	1	2
3	2	0
3	3	1
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	0
3	10	5
3	11	11
3	12	10
3	13	8
3	14	5
3	15	6
3	16	2
3	17	2
3	18	3
3	19	4
3	20	0
3	21	0
3	22	2
3	23	1
3	24	3
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	1
4	9	1
4	10	2
4	11	13
4	12	6
4	13	6
4	14	4
4	15	5
4	16	5
4	17	2
4	18	3
4	19	2
4	20	3
4	21	0
4	22	2
4	23	0
4	24	1
5	1	1
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	2
5	11	10
5	12	3
5	13	8
5	14	5
5	15	7
5	16	4
5	17	2
5	18	1
5	19	4
5	20	4
5	21	1
5	22	0
5	23	0
5	24	2
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	4
6	12	2
6	13	3
6	14	4
6	15	2
6	16	2
6	17	0
6	18	6
6	19	2
6	20	1
6	21	0
6	22	1
6	23	2
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	2
7	11	1
7	12	3
7	13	6
7	14	4
7	15	7
7	16	2
7	17	3
7	18	3
7	19	4
7	20	3
7	21	2
7	22	0
7	23	4
7	24	1
