day	hour	value
1	1	1
1	2	2
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	2
1	12	2
1	13	2
1	14	1
1	15	3
1	16	0
1	17	1
1	18	0
1	19	0
1	20	4
1	21	0
1	22	2
1	23	1
1	24	1
2	1	6
2	2	1
2	3	1
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	1
2	13	0
2	14	1
2	15	0
2	16	5
2	17	2
2	18	2
2	19	5
2	20	1
2	21	0
2	22	2
2	23	2
2	24	0
3	1	0
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	0
3	9	0
3	10	0
3	11	1
3	12	4
3	13	5
3	14	0
3	15	0
3	16	0
3	17	0
3	18	6
3	19	1
3	20	1
3	21	1
3	22	1
3	23	3
3	24	1
4	1	3
4	2	3
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	3
4	13	3
4	14	0
4	15	1
4	16	0
4	17	4
4	18	6
4	19	4
4	20	2
4	21	0
4	22	0
4	23	0
4	24	1
5	1	2
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	1
5	13	1
5	14	0
5	15	1
5	16	0
5	17	0
5	18	3
5	19	2
5	20	0
5	21	6
5	22	1
5	23	1
5	24	3
6	1	2
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	1
6	13	2
6	14	5
6	15	1
6	16	2
6	17	1
6	18	0
6	19	3
6	20	4
6	21	3
6	22	1
6	23	1
6	24	1
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	1
7	14	0
7	15	0
7	16	0
7	17	2
7	18	2
7	19	2
7	20	0
7	21	1
7	22	2
7	23	1
7	24	0
