day	hour	value
1	1	3
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	5
1	12	8
1	13	6
1	14	2
1	15	2
1	16	5
1	17	4
1	18	1
1	19	6
1	20	4
1	21	5
1	22	4
1	23	4
1	24	4
2	1	5
2	2	1
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	3
2	12	1
2	13	5
2	14	2
2	15	6
2	16	5
2	17	3
2	18	4
2	19	5
2	20	1
2	21	3
2	22	7
2	23	4
2	24	4
3	1	2
3	2	0
3	3	1
3	4	0
3	5	0
3	6	1
3	7	0
3	8	0
3	9	0
3	10	0
3	11	5
3	12	6
3	13	6
3	14	2
3	15	6
3	16	6
3	17	0
3	18	6
3	19	0
3	20	2
3	21	3
3	22	3
3	23	6
3	24	3
4	1	4
4	2	4
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	5
4	12	4
4	13	9
4	14	3
4	15	3
4	16	0
4	17	6
4	18	8
4	19	10
4	20	7
4	21	4
4	22	5
4	23	3
4	24	6
5	1	4
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	2
5	12	5
5	13	5
5	14	4
5	15	4
5	16	2
5	17	2
5	18	5
5	19	3
5	20	2
5	21	2
5	22	4
5	23	4
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	1
6	12	6
6	13	12
6	14	2
6	15	1
6	16	5
6	17	3
6	18	3
6	19	5
6	20	1
6	21	4
6	22	5
6	23	3
6	24	1
7	1	1
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	4
7	13	7
7	14	4
7	15	2
7	16	3
7	17	10
7	18	7
7	19	3
7	20	4
7	21	4
7	22	6
7	23	6
7	24	4
