day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	1
1	7	3
1	8	1
1	9	3
1	10	9
1	11	11
1	12	3
1	13	5
1	14	0
1	15	2
1	16	1
1	17	2
1	18	1
1	19	0
1	20	1
1	21	0
1	22	2
1	23	2
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	1
2	6	0
2	7	2
2	8	7
2	9	11
2	10	15
2	11	10
2	12	3
2	13	1
2	14	6
2	15	2
2	16	0
2	17	2
2	18	2
2	19	1
2	20	1
2	21	0
2	22	2
2	23	4
2	24	3
3	1	0
3	2	0
3	3	1
3	4	0
3	5	0
3	6	2
3	7	4
3	8	10
3	9	9
3	10	11
3	11	5
3	12	7
3	13	1
3	14	2
3	15	1
3	16	1
3	17	1
3	18	0
3	19	2
3	20	3
3	21	3
3	22	3
3	23	2
3	24	2
4	1	1
4	2	1
4	3	0
4	4	0
4	5	0
4	6	2
4	7	3
4	8	8
4	9	6
4	10	7
4	11	9
4	12	3
4	13	0
4	14	4
4	15	2
4	16	2
4	17	1
4	18	2
4	19	1
4	20	1
4	21	0
4	22	8
4	23	1
4	24	0
5	1	1
5	2	0
5	3	1
5	4	0
5	5	0
5	6	2
5	7	4
5	8	5
5	9	10
5	10	6
5	11	5
5	12	4
5	13	1
5	14	1
5	15	0
5	16	1
5	17	3
5	18	1
5	19	1
5	20	1
5	21	0
5	22	1
5	23	0
5	24	1
6	1	1
6	2	1
6	3	0
6	4	0
6	5	0
6	6	2
6	7	0
6	8	2
6	9	7
6	10	8
6	11	7
6	12	7
6	13	2
6	14	1
6	15	1
6	16	0
6	17	0
6	18	0
6	19	2
6	20	0
6	21	1
6	22	0
6	23	0
6	24	0
7	1	0
7	2	2
7	3	0
7	4	1
7	5	0
7	6	0
7	7	0
7	8	2
7	9	0
7	10	6
7	11	5
7	12	5
7	13	4
7	14	2
7	15	3
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	2
7	22	2
7	23	0
7	24	3
