day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	3
1	12	1
1	13	3
1	14	4
1	15	5
1	16	0
1	17	3
1	18	1
1	19	2
1	20	1
1	21	2
1	22	1
1	23	0
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	2
2	10	3
2	11	0
2	12	14
2	13	5
2	14	10
2	15	9
2	16	5
2	17	7
2	18	7
2	19	10
2	20	1
2	21	4
2	22	3
2	23	2
2	24	2
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	0
3	10	0
3	11	0
3	12	1
3	13	0
3	14	1
3	15	1
3	16	1
3	17	3
3	18	3
3	19	1
3	20	2
3	21	4
3	22	3
3	23	5
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	2
4	10	0
4	11	1
4	12	3
4	13	6
4	14	2
4	15	0
4	16	3
4	17	2
4	18	1
4	19	4
4	20	6
4	21	1
4	22	2
4	23	1
4	24	3
5	1	1
5	2	1
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	1
5	10	6
5	11	0
5	12	2
5	13	10
5	14	1
5	15	2
5	16	0
5	17	5
5	18	6
5	19	3
5	20	2
5	21	3
5	22	3
5	23	7
5	24	7
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	4
6	11	2
6	12	7
6	13	5
6	14	1
6	15	4
6	16	5
6	17	7
6	18	3
6	19	5
6	20	5
6	21	9
6	22	3
6	23	9
6	24	3
7	1	2
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	4
7	11	2
7	12	1
7	13	0
7	14	4
7	15	1
7	16	0
7	17	6
7	18	10
7	19	7
7	20	7
7	21	7
7	22	9
7	23	10
7	24	5
