day	hour	value
1	1	6
1	2	2
1	3	1
1	4	4
1	5	2
1	6	1
1	7	1
1	8	2
1	9	5
1	10	2
1	11	6
1	12	10
1	13	6
1	14	6
1	15	6
1	16	6
1	17	2
1	18	3
1	19	5
1	20	5
1	21	5
1	22	4
1	23	7
1	24	12
2	1	3
2	2	7
2	3	8
2	4	3
2	5	2
2	6	3
2	7	1
2	8	5
2	9	3
2	10	1
2	11	6
2	12	7
2	13	6
2	14	7
2	15	8
2	16	4
2	17	3
2	18	5
2	19	9
2	20	11
2	21	5
2	22	3
2	23	5
2	24	5
3	1	4
3	2	4
3	3	4
3	4	0
3	5	1
3	6	1
3	7	3
3	8	1
3	9	0
3	10	2
3	11	2
3	12	7
3	13	10
3	14	1
3	15	10
3	16	5
3	17	6
3	18	4
3	19	6
3	20	3
3	21	8
3	22	5
3	23	1
3	24	2
4	1	2
4	2	2
4	3	5
4	4	4
4	5	3
4	6	1
4	7	2
4	8	2
4	9	2
4	10	1
4	11	6
4	12	11
4	13	14
4	14	5
4	15	7
4	16	4
4	17	0
4	18	4
4	19	4
4	20	1
4	21	2
4	22	0
4	23	1
4	24	0
5	1	1
5	2	2
5	3	0
5	4	1
5	5	2
5	6	1
5	7	3
5	8	3
5	9	5
5	10	1
5	11	2
5	12	3
5	13	7
5	14	1
5	15	6
5	16	2
5	17	2
5	18	6
5	19	3
5	20	5
5	21	1
5	22	1
5	23	1
5	24	0
6	1	3
6	2	1
6	3	6
6	4	1
6	5	1
6	6	4
6	7	0
6	8	4
6	9	5
6	10	0
6	11	2
6	12	6
6	13	7
6	14	3
6	15	7
6	16	3
6	17	1
6	18	1
6	19	2
6	20	3
6	21	2
6	22	1
6	23	0
6	24	1
7	1	4
7	2	1
7	3	3
7	4	2
7	5	1
7	6	3
7	7	1
7	8	2
7	9	3
7	10	3
7	11	2
7	12	3
7	13	1
7	14	4
7	15	3
7	16	1
7	17	4
7	18	4
7	19	7
7	20	4
7	21	4
7	22	2
7	23	0
7	24	5
