day	hour	value
1	1	16
1	2	4
1	3	2
1	4	1
1	5	3
1	6	1
1	7	2
1	8	1
1	9	0
1	10	0
1	11	0
1	12	1
1	13	2
1	14	0
1	15	2
1	16	2
1	17	4
1	18	3
1	19	2
1	20	1
1	21	1
1	22	0
1	23	1
1	24	3
2	1	1
2	2	4
2	3	2
2	4	1
2	5	1
2	6	4
2	7	1
2	8	0
2	9	1
2	10	1
2	11	1
2	12	1
2	13	2
2	14	1
2	15	1
2	16	2
2	17	2
2	18	1
2	19	5
2	20	3
2	21	1
2	22	4
2	23	1
2	24	1
3	1	1
3	2	4
3	3	3
3	4	0
3	5	0
3	6	3
3	7	1
3	8	1
3	9	0
3	10	0
3	11	1
3	12	0
3	13	0
3	14	7
3	15	6
3	16	0
3	17	2
3	18	1
3	19	4
3	20	3
3	21	4
3	22	2
3	23	5
3	24	4
4	1	1
4	2	1
4	3	0
4	4	1
4	5	2
4	6	2
4	7	12
4	8	0
4	9	0
4	10	0
4	11	2
4	12	1
4	13	2
4	14	1
4	15	0
4	16	1
4	17	1
4	18	0
4	19	2
4	20	0
4	21	1
4	22	6
4	23	0
4	24	1
5	1	4
5	2	1
5	3	1
5	4	2
5	5	2
5	6	3
5	7	3
5	8	0
5	9	1
5	10	1
5	11	1
5	12	4
5	13	2
5	14	4
5	15	1
5	16	0
5	17	3
5	18	0
5	19	3
5	20	8
5	21	1
5	22	1
5	23	3
5	24	2
6	1	9
6	2	3
6	3	1
6	4	3
6	5	0
6	6	1
6	7	1
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	5
6	15	2
6	16	3
6	17	2
6	18	9
6	19	4
6	20	3
6	21	1
6	22	0
6	23	1
6	24	0
7	1	1
7	2	0
7	3	5
7	4	1
7	5	5
7	6	1
7	7	1
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	1
7	14	2
7	15	3
7	16	2
7	17	6
7	18	6
7	19	4
7	20	3
7	21	2
7	22	1
7	23	1
7	24	0
