day	hour	value
1	1	1
1	2	1
1	3	2
1	4	0
1	5	2
1	6	1
1	7	1
1	8	2
1	9	2
1	10	2
1	11	3
1	12	4
1	13	1
1	14	3
1	15	3
1	16	5
1	17	3
1	18	2
1	19	1
1	20	4
1	21	4
1	22	1
1	23	2
1	24	1
2	1	1
2	2	3
2	3	1
2	4	1
2	5	2
2	6	0
2	7	0
2	8	3
2	9	2
2	10	1
2	11	2
2	12	2
2	13	8
2	14	2
2	15	2
2	16	0
2	17	3
2	18	0
2	19	1
2	20	4
2	21	2
2	22	10
2	23	4
2	24	0
3	1	0
3	2	1
3	3	0
3	4	0
3	5	2
3	6	0
3	7	0
3	8	4
3	9	1
3	10	1
3	11	2
3	12	1
3	13	0
3	14	3
3	15	2
3	16	0
3	17	1
3	18	1
3	19	1
3	20	1
3	21	0
3	22	3
3	23	1
3	24	1
4	1	1
4	2	1
4	3	1
4	4	0
4	5	1
4	6	1
4	7	0
4	8	2
4	9	1
4	10	0
4	11	2
4	12	1
4	13	2
4	14	1
4	15	0
4	16	1
4	17	3
4	18	1
4	19	1
4	20	1
4	21	2
4	22	0
4	23	1
4	24	2
5	1	0
5	2	1
5	3	1
5	4	1
5	5	2
5	6	0
5	7	0
5	8	3
5	9	1
5	10	0
5	11	2
5	12	1
5	13	0
5	14	2
5	15	0
5	16	0
5	17	0
5	18	3
5	19	0
5	20	1
5	21	1
5	22	1
5	23	0
5	24	5
6	1	1
6	2	0
6	3	2
6	4	0
6	5	0
6	6	1
6	7	1
6	8	0
6	9	3
6	10	0
6	11	3
6	12	3
6	13	0
6	14	0
6	15	3
6	16	0
6	17	1
6	18	4
6	19	1
6	20	0
6	21	2
6	22	0
6	23	0
6	24	2
7	1	0
7	2	1
7	3	2
7	4	0
7	5	1
7	6	1
7	7	0
7	8	2
7	9	2
7	10	1
7	11	0
7	12	3
7	13	0
7	14	3
7	15	3
7	16	0
7	17	4
7	18	2
7	19	0
7	20	2
7	21	1
7	22	1
7	23	4
7	24	1
