day	hour	value
1	1	0
1	2	0
1	3	0
1	4	1
1	5	2
1	6	0
1	7	1
1	8	2
1	9	0
1	10	0
1	11	0
1	12	1
1	13	3
1	14	0
1	15	1
1	16	3
1	17	0
1	18	1
1	19	2
1	20	1
1	21	1
1	22	0
1	23	0
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	4
2	6	5
2	7	2
2	8	2
2	9	2
2	10	5
2	11	5
2	12	0
2	13	1
2	14	3
2	15	7
2	16	4
2	17	0
2	18	2
2	19	1
2	20	4
2	21	0
2	22	5
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	6
3	8	1
3	9	0
3	10	0
3	11	0
3	12	1
3	13	1
3	14	4
3	15	1
3	16	2
3	17	1
3	18	2
3	19	1
3	20	2
3	21	1
3	22	1
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	1
4	10	0
4	11	0
4	12	4
4	13	0
4	14	4
4	15	5
4	16	4
4	17	0
4	18	7
4	19	6
4	20	6
4	21	6
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	2
5	8	2
5	9	1
5	10	1
5	11	1
5	12	0
5	13	0
5	14	1
5	15	0
5	16	0
5	17	1
5	18	0
5	19	0
5	20	3
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	2
6	7	0
6	8	0
6	9	0
6	10	1
6	11	1
6	12	0
6	13	0
6	14	3
6	15	1
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	1
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
