day	hour	value
1	1	0
1	2	0
1	3	0
1	4	4
1	5	4
1	6	1
1	7	6
1	8	0
1	9	0
1	10	0
1	11	6
1	12	0
1	13	1
1	14	0
1	15	1
1	16	0
1	17	0
1	18	4
1	19	11
1	20	1
1	21	0
1	22	0
1	23	1
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	3
2	6	6
2	7	6
2	8	1
2	9	0
2	10	1
2	11	1
2	12	0
2	13	1
2	14	4
2	15	6
2	16	4
2	17	5
2	18	6
2	19	5
2	20	2
2	21	19
2	22	11
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	4
3	8	0
3	9	0
3	10	0
3	11	0
3	12	1
3	13	1
3	14	0
3	15	0
3	16	0
3	17	4
3	18	3
3	19	5
3	20	0
3	21	0
3	22	0
3	23	3
3	24	5
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	5
4	9	1
4	10	0
4	11	1
4	12	0
4	13	0
4	14	0
4	15	1
4	16	2
4	17	1
4	18	5
4	19	2
4	20	7
4	21	10
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	4
5	6	11
5	7	9
5	8	4
5	9	6
5	10	2
5	11	3
5	12	0
5	13	0
5	14	0
5	15	1
5	16	0
5	17	0
5	18	0
5	19	4
5	20	1
5	21	0
5	22	0
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	2
6	9	0
6	10	0
6	11	2
6	12	1
6	13	0
6	14	3
6	15	0
6	16	0
6	17	0
6	18	1
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	0
7	16	4
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
