day	hour	value
1	1	1
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	3
1	9	2
1	10	2
1	11	2
1	12	0
1	13	0
1	14	1
1	15	1
1	16	0
1	17	4
1	18	3
1	19	3
1	20	6
1	21	12
1	22	17
1	23	6
1	24	6
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	4
2	9	4
2	10	1
2	11	2
2	12	4
2	13	0
2	14	0
2	15	0
2	16	0
2	17	1
2	18	1
2	19	2
2	20	3
2	21	7
2	22	8
2	23	14
2	24	4
3	1	2
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	7
3	9	7
3	10	4
3	11	1
3	12	3
3	13	1
3	14	0
3	15	2
3	16	4
3	17	1
3	18	6
3	19	2
3	20	5
3	21	17
3	22	21
3	23	8
3	24	6
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	2
4	8	4
4	9	1
4	10	1
4	11	2
4	12	0
4	13	1
4	14	2
4	15	1
4	16	2
4	17	0
4	18	1
4	19	5
4	20	6
4	21	10
4	22	16
4	23	10
4	24	3
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	3
5	8	23
5	9	16
5	10	2
5	11	2
5	12	3
5	13	5
5	14	3
5	15	0
5	16	0
5	17	2
5	18	1
5	19	3
5	20	3
5	21	2
5	22	10
5	23	2
5	24	2
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	2
6	10	1
6	11	2
6	12	4
6	13	8
6	14	2
6	15	2
6	16	1
6	17	4
6	18	5
6	19	0
6	20	4
6	21	0
6	22	1
6	23	0
6	24	1
7	1	3
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	3
7	10	2
7	11	5
7	12	2
7	13	4
7	14	1
7	15	0
7	16	3
7	17	4
7	18	5
7	19	3
7	20	2
7	21	4
7	22	8
7	23	3
7	24	5
