day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	1
1	8	0
1	9	5
1	10	3
1	11	0
1	12	0
1	13	5
1	14	3
1	15	7
1	16	12
1	17	7
1	18	2
1	19	0
1	20	2
1	21	6
1	22	15
1	23	4
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	0
2	9	7
2	10	2
2	11	1
2	12	3
2	13	5
2	14	3
2	15	8
2	16	7
2	17	6
2	18	3
2	19	4
2	20	2
2	21	11
2	22	12
2	23	9
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	8
3	10	2
3	11	2
3	12	1
3	13	4
3	14	2
3	15	11
3	16	8
3	17	5
3	18	3
3	19	4
3	20	1
3	21	5
3	22	12
3	23	3
3	24	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	8
4	10	0
4	11	1
4	12	2
4	13	8
4	14	1
4	15	5
4	16	4
4	17	3
4	18	1
4	19	2
4	20	1
4	21	2
4	22	9
4	23	0
4	24	3
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	6
5	10	5
5	11	3
5	12	1
5	13	6
5	14	7
5	15	5
5	16	5
5	17	4
5	18	3
5	19	3
5	20	0
5	21	3
5	22	8
5	23	2
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	1
6	10	0
6	11	1
6	12	1
6	13	3
6	14	0
6	15	1
6	16	1
6	17	3
6	18	3
6	19	0
6	20	1
6	21	1
6	22	6
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	0
7	11	1
7	12	0
7	13	3
7	14	1
7	15	1
7	16	4
7	17	4
7	18	3
7	19	0
7	20	0
7	21	2
7	22	8
7	23	2
7	24	3
