day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	0
1	10	3
1	11	2
1	12	5
1	13	2
1	14	4
1	15	5
1	16	9
1	17	3
1	18	0
1	19	7
1	20	10
1	21	16
1	22	17
1	23	8
1	24	3
2	1	3
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	1
2	9	1
2	10	3
2	11	10
2	12	5
2	13	5
2	14	11
2	15	6
2	16	9
2	17	6
2	18	8
2	19	1
2	20	13
2	21	4
2	22	6
2	23	1
2	24	1
3	1	0
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	1
3	9	5
3	10	4
3	11	4
3	12	2
3	13	4
3	14	8
3	15	5
3	16	4
3	17	10
3	18	0
3	19	3
3	20	7
3	21	8
3	22	3
3	23	2
3	24	1
4	1	1
4	2	1
4	3	0
4	4	0
4	5	1
4	6	0
4	7	0
4	8	3
4	9	3
4	10	6
4	11	4
4	12	1
4	13	8
4	14	4
4	15	6
4	16	3
4	17	3
4	18	1
4	19	5
4	20	5
4	21	4
4	22	3
4	23	1
4	24	0
5	1	2
5	2	2
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	4
5	9	4
5	10	3
5	11	1
5	12	11
5	13	8
5	14	9
5	15	6
5	16	5
5	17	4
5	18	7
5	19	2
5	20	2
5	21	5
5	22	2
5	23	4
5	24	1
6	1	1
6	2	0
6	3	1
6	4	0
6	5	0
6	6	0
6	7	2
6	8	0
6	9	1
6	10	2
6	11	0
6	12	3
6	13	0
6	14	1
6	15	2
6	16	2
6	17	3
6	18	4
6	19	6
6	20	5
6	21	5
6	22	3
6	23	2
6	24	1
7	1	0
7	2	0
7	3	0
7	4	0
7	5	1
7	6	0
7	7	1
7	8	0
7	9	0
7	10	1
7	11	4
7	12	3
7	13	2
7	14	5
7	15	1
7	16	7
7	17	2
7	18	4
7	19	5
7	20	5
7	21	8
7	22	7
7	23	1
7	24	1
