day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	2
1	8	0
1	9	5
1	10	9
1	11	5
1	12	9
1	13	4
1	14	3
1	15	4
1	16	6
1	17	0
1	18	1
1	19	1
1	20	2
1	21	2
1	22	3
1	23	3
1	24	1
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	1
2	8	1
2	9	1
2	10	0
2	11	8
2	12	0
2	13	1
2	14	4
2	15	4
2	16	2
2	17	3
2	18	1
2	19	4
2	20	0
2	21	6
2	22	6
2	23	2
2	24	2
3	1	0
3	2	3
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	3
3	9	5
3	10	1
3	11	2
3	12	6
3	13	0
3	14	0
3	15	4
3	16	4
3	17	1
3	18	2
3	19	0
3	20	0
3	21	1
3	22	3
3	23	7
3	24	5
4	1	2
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	1
4	9	8
4	10	7
4	11	1
4	12	6
4	13	1
4	14	0
4	15	5
4	16	3
4	17	1
4	18	5
4	19	1
4	20	0
4	21	4
4	22	2
4	23	3
4	24	1
5	1	2
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	2
5	8	2
5	9	1
5	10	2
5	11	4
5	12	2
5	13	0
5	14	9
5	15	1
5	16	1
5	17	1
5	18	1
5	19	5
5	20	0
5	21	2
5	22	6
5	23	0
5	24	1
6	1	2
6	2	5
6	3	0
6	4	0
6	5	0
6	6	0
6	7	2
6	8	5
6	9	1
6	10	2
6	11	13
6	12	3
6	13	5
6	14	4
6	15	2
6	16	1
6	17	3
6	18	3
6	19	2
6	20	2
6	21	0
6	22	1
6	23	0
6	24	2
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	1
7	8	1
7	9	8
7	10	2
7	11	2
7	12	4
7	13	3
7	14	1
7	15	1
7	16	4
7	17	4
7	18	1
7	19	4
7	20	0
7	21	1
7	22	4
7	23	4
7	24	5
