day	hour	value
1	1	1
1	2	4
1	3	2
1	4	5
1	5	1
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	1
1	12	0
1	13	3
1	14	0
1	15	2
1	16	0
1	17	0
1	18	10
1	19	5
1	20	3
1	21	2
1	22	2
1	23	1
1	24	2
2	1	6
2	2	1
2	3	1
2	4	2
2	5	2
2	6	3
2	7	0
2	8	0
2	9	0
2	10	1
2	11	1
2	12	0
2	13	6
2	14	4
2	15	5
2	16	1
2	17	1
2	18	18
2	19	1
2	20	0
2	21	3
2	22	6
2	23	3
2	24	1
3	1	0
3	2	5
3	3	3
3	4	2
3	5	1
3	6	0
3	7	0
3	8	0
3	9	0
3	10	1
3	11	0
3	12	0
3	13	1
3	14	2
3	15	3
3	16	4
3	17	0
3	18	26
3	19	4
3	20	3
3	21	17
3	22	3
3	23	10
3	24	4
4	1	5
4	2	4
4	3	5
4	4	4
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	1
4	12	1
4	13	3
4	14	3
4	15	5
4	16	3
4	17	0
4	18	21
4	19	1
4	20	2
4	21	14
4	22	8
4	23	14
4	24	12
5	1	2
5	2	18
5	3	7
5	4	4
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	0
5	12	1
5	13	1
5	14	0
5	15	7
5	16	3
5	17	4
5	18	12
5	19	6
5	20	2
5	21	17
5	22	5
5	23	3
5	24	10
6	1	7
6	2	3
6	3	1
6	4	1
6	5	0
6	6	2
6	7	0
6	8	0
6	9	0
6	10	1
6	11	0
6	12	0
6	13	1
6	14	1
6	15	2
6	16	8
6	17	1
6	18	2
6	19	6
6	20	15
6	21	3
6	22	8
6	23	11
6	24	6
7	1	2
7	2	13
7	3	9
7	4	1
7	5	2
7	6	1
7	7	0
7	8	0
7	9	0
7	10	0
7	11	0
7	12	1
7	13	2
7	14	0
7	15	5
7	16	4
7	17	4
7	18	7
7	19	0
7	20	8
7	21	4
7	22	1
7	23	10
7	24	0
